,All inclusion criteria fullfilled,Energy relation of title,Paper ID,Finished assessment
0,,,,
25,0.92,1.0,13.0,1.0
50,0.0,1.0,38.0,0.0
75,0.0,1.0,63.0,0.0
100,0.0,1.0,88.0,0.0
125,0.0,1.0,113.0,0.0
150,0.0,1.0,138.0,0.0
175,0.0,1.0,163.0,0.0
200,0.04,1.0,188.0,0.04
225,0.6,1.0,213.0,0.96
250,0.0,1.0,238.0,0.0
275,0.0,1.0,263.0,0.0
300,0.04,1.0,288.0,0.04
325,0.4,1.0,313.0,1.0
350,0.6,1.0,338.0,1.0
375,0.64,1.0,363.0,1.0
400,0.0,1.0,388.0,0.04
425,0.24,1.0,413.0,1.0
450,0.52,1.0,438.0,1.0
475,0.6,1.0,463.0,1.0
500,0.48,1.0,488.0,1.0
525,0.48,1.0,513.0,1.0
550,0.52,1.0,538.0,1.0
