,All inclusion criteria fullfilled,Energy relation of title,Paper ID,Finished assessment
0,,,,
25,0.96,1.0,13.0,1.0
50,0.44,1.0,38.0,1.0
75,0.44,1.0,63.0,1.0
100,0.4,1.0,88.0,1.0
125,0.56,1.0,113.0,1.0
150,0.36,1.0,138.0,1.0
175,0.64,1.0,163.0,1.0
200,0.44,1.0,188.0,1.0
225,0.32,1.0,213.0,1.0
250,0.68,1.0,238.0,1.0
275,0.24,1.0,263.0,1.0
300,0.48,1.0,288.0,1.0
325,0.24,1.0,313.0,1.0
350,0.4,1.0,338.0,1.0
375,0.64,1.0,363.0,1.0
400,0.32,1.0,388.0,1.0
425,0.24,1.0,413.0,1.0
450,0.52,1.0,438.0,1.0
475,0.44,1.0,463.0,1.0
500,0.24,1.0,488.0,1.0
525,0.24,1.0,513.0,1.0
550,0.52,1.0,538.0,1.0
