,parameter,count,doi
0,income,7,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2021.112205',
 '10.1007/s10584-017-2094-x', '10.1016/j.enpol.2019.110935',
 '10.1016/j.erss.2021.102455', '10.1007/s10584-019-02521-7',
 '10.1002/ente.202000668'"
1,education,5,"'10.1016/j.enpol.2021.112444', '10.1016/j.jclepro.2019.119626',
 '10.1016/j.enpol.2019.110935', '10.1002/ente.202000668',
 '10.3390/ijerph18020620'"
2,energy burden,5,"'10.1016/j.enpol.2019.110935', '10.1007/s10584-019-02521-7',
 '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620',
 '10.1016/j.ref.2022.02.002'"
3,gender,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2018.08.005',
 '10.1016/j.jclepro.2019.119626', '10.1002/ente.202000668'"
4,home ownership,3,"'10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2019.110935',
 '10.1007/s10584-019-02521-7'"
5,population density,3,"'10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2019.110935',
 '10.1002/ente.202000668'"
6,energy bills,2,"'10.1016/j.enbuild.2018.07.010', '10.3390/ijerph18020620'"
7,fuel poverty,2,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2019.110935'"
8,health,2,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2017.09.035'"
9,wealth,2,"'10.1016/j.erss.2018.08.005', '10.3390/ijerph18020620'"
10,housing burden,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
11,poverty,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
12,unemployment,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002'"
13,age,2,"'10.1016/j.enpol.2019.110935', '10.1002/ente.202000668'"
14,race,2,"'10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620'"
15,household size,2,"'10.1002/ente.202000668', '10.1016/j.erss.2017.09.035'"
16,life expectancy,2,"'10.1002/ente.202000668', '10.3390/ijerph18020620'"
17,occupancy (low,1,'10.1016/j.enbuild.2018.07.010'
18,moderate,1,'10.1016/j.enbuild.2018.07.010'
19,high),1,'10.1016/j.enbuild.2018.07.010'
20,behavioural energy use patterns,1,'10.1016/j.enbuild.2018.07.010'
21,indoor issues (damp,1,'10.1016/j.enbuild.2018.07.010'
22,mold,1,'10.1016/j.enbuild.2018.07.010'
23,condensation),1,'10.1016/j.enbuild.2018.07.010'
24,indoor thermal comfort,1,'10.1016/j.enbuild.2018.07.010'
25,indoor air temperature,1,'10.1016/j.enbuild.2018.07.010'
26,relative humidity,1,'10.1016/j.enbuild.2018.07.010'
27,passive systems,1,'10.1016/j.enpol.2020.111256'
28,building materials,1,'10.1016/j.enpol.2020.111256'
29,ability to find strategies for heating/cooling,1,'10.1016/j.enpol.2020.111256'
30,psychological factors,1,'10.1016/j.enpol.2020.111256'
31,number of registered domestic biogas digesters,1,'10.1186/s13705-017-0111-6'
32,distance to nearest district headquarters,1,'10.1186/s13705-017-0111-6'
33,share of population made up of women,1,'10.1186/s13705-017-0111-6'
34,number of women in biodigester committee,1,'10.1186/s13705-017-0111-6'
35,share of population categorised as marginalised,1,'10.1186/s13705-017-0111-6'
36,share of households with no household appliances,1,'10.1186/s13705-017-0111-6'
37,distribution of installation efforts (cost,1,'10.1186/s13705-017-0111-6'
38,time),1,'10.1186/s13705-017-0111-6'
39,distribution of maintenance work,1,'10.1186/s13705-017-0111-6'
40,distribution of operational work,1,'10.1186/s13705-017-0111-6'
41,perceived fairness regarding distribution of operational work,1,'10.1186/s13705-017-0111-6'
42,provided training,1,'10.1186/s13705-017-0111-6'
43,capacity requirements,1,'10.1016/j.apenergy.2019.113724'
44,exploitable solar pv potential,1,'10.1016/j.apenergy.2019.113724'
45,economic resources,1,'10.1016/j.apenergy.2019.113724'
46,economic growth,1,'10.1016/j.apenergy.2019.113724'
47,income inequality,1,'10.1016/j.apenergy.2019.113724'
48,greenhouse gas reductions,1,'10.1016/j.apenergy.2019.113724'
49,health impacts,1,'10.1016/j.apenergy.2019.113724'
50, slack to least-cost solution,1,'10.1016/j.apenergy.2019.113724'
51,emplyoment status,1,'10.1016/j.enpol.2021.112444'
52,problems to afford housing,1,'10.1016/j.enpol.2021.112444'
53,dampness in dwelling,1,'10.1016/j.enpol.2021.112444'
54,darkness in dwelling,1,'10.1016/j.enpol.2021.112444'
55,ownership,1,'10.1016/j.enpol.2021.112444'
56,place of living (region),1,'10.1016/j.enpol.2021.112444'
57,double glazing,1,'10.1016/j.enpol.2021.112444'
58,single-parent,1,'10.1016/j.enpol.2021.112444'
59,costs of energy,1,'10.1016/j.erss.2018.05.026'
60,inclusion in planning processes,1,'10.1016/j.erss.2018.05.026'
61,profiteers,1,'10.1016/j.erss.2018.05.026'
