,parameter,count,doi
0,simulation model,2,"'10.1016/j.enpol.2021.112205', '10.1016/j.erss.2021.102075'"
1,low-income energy affordability data (lead) tool,2,"'10.3390/ijerph18020620', '10.1016/j.ref.2022.02.002'"
2,spatial-statistical analysis,1,'10.1186/s13705-017-0111-6'
3,least squares regression model,1,'10.1186/s13705-017-0111-6'
4,ols regresseion models,1,'10.1186/s13705-017-0111-6'
5,geographically weighted regression (gwr) models,1,'10.1186/s13705-017-0111-6'
6,akaike information criterion (aic),1,'10.1186/s13705-017-0111-6'
7,k nearest neighbours,1,'10.1186/s13705-017-0111-6'
8,expanse (exploration of patterns in near-optimal energy scenarios); linear optimization; modeling to generate alternatives (mga) method; slack compared to least-cost; gini index; lorenz curve; trade-off curve; spatial representation; pareto frontier; near-optimal scenarios; policies as constraints,1,'10.1016/j.apenergy.2019.113724'
9,microsimulation model,1,'10.1016/j.enpol.2021.112444'
10,regression,1,'10.1016/j.enpol.2021.112444'
11,explorative factor analysis (efa),1,'10.1016/j.erss.2018.05.026'
12,interfactor-correlations,1,'10.1016/j.erss.2018.05.026'
13,cronbach's α,1,'10.1016/j.erss.2018.05.026'
14, structural equation modeling (sem) multigroup analysis,1,'10.1016/j.erss.2018.05.026'
15,gini coefficient,1,'10.1016/j.rser.2020.110610'
16,calculating employment numbers using employment factors,1,'10.1016/j.rser.2020.110610'
17,difference-in-differences (did) model,1,'10.1016/j.enpol.2021.112205'
18,direct cost calculation,1,'10.1016/j.enpol.2021.112205'
19,healt and economic effects estimation,1,'10.1016/j.enpol.2021.112205'
20,net cost-benefit estimation,1,'10.1016/j.enpol.2021.112205'
21,nested inequalities climate economy model (nice),1,'10.1007/s10584-017-2094-x'
22,integrated assessment model (iam),1,'10.1007/s10584-017-2094-x'
23,regional integrated model of climate and the economy (rice),1,'10.1007/s10584-017-2094-x'
24,social,1,'10.1016/j.apenergy.2021.118235'
25,economic,1,'10.1016/j.apenergy.2021.118235'
26,environmental and technical assessment (seeta) model that combines four fuzzy multi-criteria decision making techniques viz. fuzzy stepwise weighted assessment ratio analysis,1,'10.1016/j.apenergy.2021.118235'
27,fuzzy multi-objective optimization by ratio analysis,1,'10.1016/j.apenergy.2021.118235'
28,fuzzy weighted aggregated sum product assessment and fuzzy technique,1,'10.1016/j.apenergy.2021.118235'
29,dynamic computable general equilibrium (cge) model,1,'10.1016/j.jclepro.2019.119626'
30,calenviroscreen 3.0,1,'10.1016/j.enpol.2019.110935'
31,calenviroscreen score,1,'10.1016/j.enpol.2019.110935'
32,environmental justice score,1,'10.1016/j.enpol.2019.110935'
33,percent of households experiencing certain pollution level,1,'10.1016/j.enpol.2019.110935'
34,normalization of overall pollution scores to determine locally specific exposure tiers,1,'10.1016/j.enpol.2019.110935'
35,geospatial distribution,1,'10.1016/j.enpol.2019.110935'
36,gap of installation rate between high- and low adopters,1,'10.1016/j.enpol.2019.110935'
37,gap of cumulative capacity over time between high- and low adopters,1,'10.1016/j.enpol.2019.110935'
38,bivariage log-linear scatter plots,1,'10.1016/j.enpol.2019.110935'
39,simple linear regression,1,'10.1016/j.enpol.2019.110935'
40,ordinary least squares (ols) multiple regression model,1,'10.1016/j.enpol.2019.110935'
41,composite indicator of socio-economic indicators  as strongest predictor for solar adoption rate,1,'10.1016/j.enpol.2019.110935'
42,calculation of energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
43,range standardization method,1,'10.1016/j.ecolecon.2022.107456'
44,performance indices,1,'10.1016/j.ecolecon.2022.107456'
45,before-and-after assessment,1,'10.1016/j.ecolecon.2022.107456'
46,descriptive statistical analysis,1,'10.1016/j.ecolecon.2022.107456'
47,reverse deduction method,1,'10.1016/j.ecolecon.2022.107456'
48,evaluation model of energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
49,assessment of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
50,social determinants of health (sdoh) framework,1,'10.3390/ijerph18020620'
51,state fixed effect approach,1,'10.3390/ijerph18020620'
52,global morans i coefficient,1,'10.3390/ijerph18020620'
53,spatial error regression model,1,'10.3390/ijerph18020620'
54,environmental justice screening and mapping (ejscreen) tool,1,'10.1016/j.ref.2022.02.002'
55,state and local planning for energy (slope) platform,1,'10.1016/j.ref.2022.02.002'
56,renewable energy integration and optimization (reopt) model,1,'10.1016/j.ref.2022.02.002'
57,national renewable energy laboratory’s jobs and economic development impact (jedi) models,1,'10.1016/j.ref.2022.02.002'
58,spreadsheet based analytical model to study the spatial distribution and magnitude of the labor impacts associated with clean energy transitions in the power sector in india,1,'10.1016/j.enpol.2021.112158'
59,system dynamics,1,'10.1016/j.erss.2021.102075'
60,causual loop diagrams (clds),1,'10.1016/j.erss.2021.102075'
61,goal seeking meachanism,1,'10.1016/j.erss.2021.102075'
