,parameter,count,doi,,(Skip question: Not applicable),"DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?;PROCEDURAL JUSTICE: Legal processes and rights to avoid injustices. Q: Which processes exist for the remediation of injustices? Have processes been followed?;COSMOPOLITAN JUSTICE: Justice impacts of energy activities have cross-border effects, ie. are multi-scalar and do not occur only in a single country, and should be considered as part of global citizenship. Q: Who has more rights and benefits globally?",DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?,"DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?;COSMOPOLITAN JUSTICE: Justice impacts of energy activities have cross-border effects, ie. are multi-scalar and do not occur only in a single country, and should be considered as part of global citizenship. Q: Who has more rights and benefits globally?;INTERGENERATIONAL JUSTICE: (In-)justices connected to intergenerational sharing of goods and burdens, including preservation of resources. Q: Which rights do future generations hold?",DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?;RECOGNITION JUSTICE: Recognition of rights of different groups and in particular local and/or indigenous communities. Q: Which affected sections of society are ignored;PROCEDURAL JUSTICE: Legal processes and rights to avoid injustices. Q: Which processes exist for the remediation of injustices? Have processes been followed?,RECOGNITION JUSTICE: Recognition of rights of different groups and in particular local and/or indigenous communities. Q: Which affected sections of society are ignored,DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?;RECOGNITION JUSTICE: Recognition of rights of different groups and in particular local and/or indigenous communities. Q: Which affected sections of society are ignored,"DISTRIBUTIONAL JUSTICE: Distribution of benefits from the energy sector and also the negatives. Q: Who experiences benefits and ills? Are energy revenues shared fairly?;PROCEDURAL JUSTICE: Legal processes and rights to avoid injustices. Q: Which processes exist for the remediation of injustices? Have processes been followed?;INTERGENERATIONAL JUSTICE: (In-)justices connected to intergenerational sharing of goods and burdens, including preservation of resources. Q: Which rights do future generations hold?"
0,regression coefficients,2,"'10.1186/s13705-017-0111-6', '10.3390/ijerph18020620'",0,1,0,0,0,0,0,1,0
1,electricity generation per capita,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
2,electricity generation per demand,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
3,electricity generation costs,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
4,investment share,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
5,electricity generation cost,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
6,regional spillover,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
7,regional equity,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
8,spatial distribution of electricity generation per demand,1,'10.1016/j.apenergy.2019.113724',0,0,0,1,0,0,0,0,0
9,fuel poverty,1,'10.1016/j.enpol.2021.112444',0,0,0,1,0,0,1,0,0
10,income poverty,1,'10.1016/j.enpol.2021.112444',0,0,0,1,0,0,0,0,0
11,acceptance,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
12,attitude towards renewable energy technologie,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
13,trust in local stakeholders,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
14,fairness,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
15,trust in research/ non-governmental/ nonprofit organizations,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
16,regional added value,1,'10.1016/j.erss.2018.05.026',0,0,0,0,0,0,0,0,1
17,ratio of working-age population,1,'10.1016/j.rser.2020.110610',0,0,0,0,0,1,0,0,0
18,employment numbers,1,'10.1016/j.rser.2020.110610',0,0,0,0,0,1,0,0,0
19,gini coefficient,1,'10.1016/j.rser.2020.110610',0,0,0,0,0,1,0,0,0
20,fpi,1,'10.1177/1420326X17713071',0,0,0,1,0,0,0,0,0
21,fp,1,'10.1177/1420326X17713071',0,0,0,1,0,0,0,0,0
22,fppri,1,'10.1177/1420326X17713071',0,0,0,1,0,0,0,0,0
23,energy poverty,1,'10.1016/j.enpol.2021.112205',0,0,0,2,0,0,0,0,0
24,heating poverty,1,'10.1016/j.enpol.2021.112205',0,0,0,1,0,0,0,0,0
25, health economic benefits,1,'10.1016/j.enpol.2021.112205',0,0,0,1,0,0,0,0,0
26,carbon price,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
27,inequality aversion,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
28,time preference,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
29,catastrophic damages,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
30,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
31,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x',0,0,0,0,1,0,0,0,0
32,income,1,'10.1007/s10584-017-2094-x',0,0,0,4,1,0,0,0,0
33,land acquisation (around the project site): persons whose agricultural land has been acquired,1,'10.1016/j.apenergy.2021.118235',0,0,0,1,0,0,0,0,0
34,persons who have become landless and houseless,1,'10.1016/j.apenergy.2021.118235',0,0,0,1,0,0,0,0,0
35,other persons affected,1,'10.1016/j.apenergy.2021.118235',0,0,0,1,0,0,0,0,0
36,labor change,1,'10.1016/j.jclepro.2019.119626',0,0,0,1,0,0,0,0,0
37,labor mobility,1,'10.1016/j.jclepro.2019.119626',0,0,0,1,0,0,0,0,0
38,urbanization rate,1,'10.1016/j.jclepro.2019.119626',0,0,0,1,0,0,0,0,0
39,change in household income,1,'10.1016/j.jclepro.2019.119626',0,0,0,1,0,0,0,0,0
40,income gap among urban residents,1,'10.1016/j.jclepro.2019.119626',0,0,0,1,0,0,0,0,0
41,installed pv capacity per capita,1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
42,calenviroscreen (ces) score,1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
43,environmental justice (ej) score,1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
44,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure) precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
45,annual rate of solar adoption,1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
46,gap of rate of solar adotion between high- and low-adopters,1,'10.1016/j.enpol.2019.110935',0,0,0,1,0,0,0,0,0
47,exposure,1,'10.1016/j.ecolecon.2022.107456',0,0,0,2,0,0,0,1,0
48,sensitivity,1,'10.1016/j.ecolecon.2022.107456',0,0,0,1,0,0,0,1,0
49,energy vulnerability,1,'10.1016/j.ecolecon.2022.107456',0,0,0,0,0,0,0,1,0
50,amount of subsidy per household,1,'10.1016/j.ecolecon.2022.107456',0,0,0,0,0,0,0,1,0
51,loss of distributive justice,1,'10.1016/j.ecolecon.2022.107456',0,0,0,0,0,0,0,1,0
