,parameter,count,doi
0,income,10,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2021.102455', '10.1007/s10584-019-02521-7', '10.1016/j.enpol.2019.110935', '10.1016/j.landusepol.2017.10.021', '10.1007/s10584-017-2094-x', '10.1016/j.envsci.2021.04.004', '10.1002/ente.202000668', '10.1016/j.erss.2020.101451', '10.1016/j.enpol.2021.112205'"
1,education,6,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2019.110935', '10.1016/j.jclepro.2019.119626', '10.1002/ente.202000668', '10.3390/ijerph18020620', '10.1016/j.erss.2020.101451'"
2,energy burden,6,"'10.1007/s10584-019-02521-7', '10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620', '10.1080/13549839.2021.1916899'"
3,gender,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2018.08.005', '10.1016/j.jclepro.2019.119626', '10.1002/ente.202000668'"
4,home ownership,4,"'10.1007/s10584-019-02521-7', '10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.3390/su12155904'"
5,unemployment,4,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1007/s10098-022-02278-1', '10.1080/13549839.2021.1916899'"
6,health,3,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2017.09.035', '10.1016/j.envsci.2021.04.004'"
7,poverty,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1007/s10098-022-02278-1'"
8,age,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.envsci.2021.04.004', '10.1002/ente.202000668'"
9,population density,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.1002/ente.202000668'"
10,energy bills,2,"'10.1016/j.enbuild.2018.07.010', '10.3390/ijerph18020620'"
11,fuel poverty,2,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2019.110935'"
