,parameter,count,doi
0,energy poverty,2,"'10.1016/j.apenergy.2019.113724', '10.1080/13549839.2021.1916899'"
1,ratio of working age population,1,'10.1016/j.rser.2020.110610'
2,social vulnerability,1,'10.1016/j.erss.2017.09.035'
3,fuel poverty,1,'10.1016/j.erss.2017.09.035'
4,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure) precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
5,correlation coefficients,1,'10.1016/j.ref.2022.02.002'
6,ground water and drinking water pollution,1,'10.1016/j.landusepol.2017.10.021'
7,wastes and wastewater from fracking,1,'10.1016/j.landusepol.2017.10.021'
8,co4 leakage from fracking,1,'10.1016/j.landusepol.2017.10.021'
9,concentration of methane in drinking water wells,1,'10.1016/j.landusepol.2017.10.021'
10,occurrences of upper respiratory and dermatologic problems,1,'10.1016/j.landusepol.2017.10.021'
11,frequency of seismicitiy in fracking areas,1,'10.1016/j.landusepol.2017.10.021'
12,land cover,1,'10.1016/j.landusepol.2017.10.021'
13,public health effects,1,'10.1016/j.landusepol.2017.10.021'
14,landscape degradation,1,'10.1016/j.landusepol.2017.10.021'
15,environmental pollution,1,'10.1016/j.landusepol.2017.10.021'
16,groundwater consuption,1,'10.1016/j.landusepol.2017.10.021'
17,air pollution,1,'10.1016/j.landusepol.2017.10.021'
18,soil pollution,1,'10.1016/j.landusepol.2017.10.021'
19,revenue distribution,1,'10.1016/j.landusepol.2017.10.021'
20,royalty distribution,1,'10.1016/j.landusepol.2017.10.021'
21, community security,1,'10.1016/j.landusepol.2017.10.021'
22,local education,1,'10.1016/j.landusepol.2017.10.021'
23,land use,1,'10.1016/j.landusepol.2017.10.021'
24,distances from fracking sites to communities,1,'10.1016/j.landusepol.2017.10.021'
25,employment,1,'10.1016/j.landusepol.2017.10.021'
26,landscape change,1,'10.1016/j.polgeo.2021.102544'
27,loss ob biodiversity,1,'10.1016/j.polgeo.2021.102544'
28,noise impact,1,'10.1016/j.polgeo.2021.102544'
29,fine particle concentration,1,'10.1016/j.polgeo.2021.102544'
30,surface and ground water use,1,'10.1016/j.polgeo.2021.102544'
31,waste generation,1,'10.1016/j.polgeo.2021.102544'
32,public health impacts,1,'10.1016/j.polgeo.2021.102544'
33,ecological footprint per capita,1,'10.1016/j.polgeo.2021.102544'
34,carbon emissions,1,'10.1016/j.polgeo.2021.102544'
35,carbon intensiveness of construction,1,'10.1016/j.polgeo.2021.102544'
36,conversion efficiency of appliances,1,'10.1016/j.polgeo.2021.102544'
37,ressource-invensiveness,1,'10.1016/j.polgeo.2021.102544'
38,land use intensiveness,1,'10.1016/j.polgeo.2021.102544'
39,soil hydrology impacts,1,'10.1016/j.polgeo.2021.102544'
40,loss of high-paid jobs,1,'10.1016/j.polgeo.2021.102544'
41,wage degreases,1,'10.1016/j.polgeo.2021.102544'
42,employment effects,1,'10.1016/j.polgeo.2021.102544'
43,migration effects on skilled labour,1,'10.1016/j.polgeo.2021.102544'
44,secondary effects on other industries (tourism/marine shipping/agriculture),1,'10.1016/j.polgeo.2021.102544'
45,socialized economic risks,1,'10.1016/j.polgeo.2021.102544'
46,shifted environmental burdens (eg. into other country),1,'10.1016/j.polgeo.2021.102544'
47,energy independence,1,'10.1016/j.polgeo.2021.102544'
48,security of supply,1,'10.1016/j.polgeo.2021.102544'
49,regional equity by population,1,'10.1016/j.apenergy.2019.113724'
50,job creation,1,'10.1016/j.apenergy.2019.113724'
51,environmental externalities,1,'10.1016/j.apenergy.2019.113724'
52,electricity generation costs,1,'10.1016/j.apenergy.2019.113724'
53,electricity generation cost,1,'10.1016/j.apenergy.2019.113724'
54,spatial distribution of energy vulnerability,1,'10.3390/ijerph18020620'
55,distributional employment impacts: wages,1,'10.1016/j.enpol.2021.112158'
56,economic inequality,1,'10.1016/j.enpol.2021.112158'
57,spatial distribution,1,'10.1016/j.enpol.2021.112158'
58,job gains and losses,1,'10.1016/j.enpol.2021.112158'
59,land loss/acquisation,1,'10.1016/j.enpol.2021.112158'
60,lost of livelihoods without compensation in the process of setting up new solar power plants,1,'10.1016/j.enpol.2021.112158'
61,air pollutants,1,'10.1080/13549839.2021.1916899'
62,asthma hospitalisations,1,'10.1080/13549839.2021.1916899'
63,neighbourhood deficit score (nds),1,'10.1080/13549839.2021.1916899'
64,environmental burden,1,'10.1080/13549839.2021.1916899'
65,percent poverty,1,'10.1080/13549839.2021.1916899'
66,level of a pollutant,1,'10.1080/13549839.2021.1916899'
67,social vulnerability index (svi),1,'10.1080/13549839.2021.1916899'
68,household energy vulnerability index (hevi),1,'10.3390/su12155904'
