,parameter,count,doi
0,energy justice,11,"'https://doi.org/10.1016/j.worlddev.2021.105725', '10.1109/GHTC46095.2019.9033126', '10.1016/j.erss.2020.101451', '10.1186/s13705-017-0111-6', '10.1016/j.enpol.2019.110935', '10.1016/j.ecolecon.2022.107456', '10.1016/j.polgeo.2021.102544', '10.1016/j.erss.2021.102075', 'https://doi.org/10.1016/j.apenergy.2020.114749', '10.1080/13549839.2020.1786807', '10.1016/j.apenergy.2019.113724'"
1,thermal comfort,3,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.enpol.2020.111256', '10.1177/1420326X17713071'"
2,energy poverty,3,"'10.1016/j.enpol.2021.112444', '10.1080/13549839.2021.1916899', '10.3390/su12155904'"
3,sustainability,3,"'https://doi.org/10.1016/j.worlddev.2021.105725', '10.1016/j.apenergy.2021.118235', '10.1016/j.landusepol.2017.10.021'"
4,energy vulnerability,3,"'10.1016/j.erss.2021.102455', '10.1016/j.ecolecon.2022.107456', '10.3390/su12155904'"
5,environmental justice,3,"'10.1016/j.enpol.2019.110935', '10.1080/13549839.2021.1916899', '10.1016/j.envsci.2021.04.004'"
6,social housing,2,"'10.1016/j.enbuild.2018.07.010', '10.1177/1420326X17713071'"
7,fuel poverty,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2017.09.035'"
8,microsimulation,2,"'10.1016/j.enpol.2021.112444', '10.1002/ente.202000668'"
9,agent-based modelling,2,"'10.1016/j.erss.2020.101451', '10.1016/j.enpol.2021.112265'"
10,distributional impacts,2,"'10.1002/ente.202000668', '10.1016/j.apenergy.2019.113724'"
11,none,2,"'10.1007/s10584-019-02521-7', '10.1016/j.ref.2022.02.002'"
12,building performance,1,'10.1016/j.enbuild.2018.07.010'
13,retrofit,1,'10.1016/j.enbuild.2018.07.010'
14,energy efficiency,1,'10.1016/j.enbuild.2018.07.010'
15,energy use behaviour,1,'10.1016/j.enbuild.2018.07.010'
16,cooling energy,1,'10.1016/j.enpol.2020.111256'
17,tropical climate,1,'10.1016/j.enpol.2020.111256'
18,brazilian amazon,1,'10.1016/j.enpol.2020.111256'
19,household energy demand,1,'10.1016/j.enpol.2021.112444'
20,energy taxes,1,'10.1016/j.enpol.2021.112444'
21,acceptance,1,'10.1016/j.erss.2018.05.026'
22,fairness,1,'10.1016/j.erss.2018.05.026'
23,wind power,1,'10.1016/j.erss.2018.05.026'
24,regional energy transition,1,'10.1016/j.erss.2018.05.026'
25,just transition,1,'10.1016/j.rser.2020.110610'
26,decarbonisation,1,'10.1016/j.rser.2020.110610'
27,power sector,1,'10.1016/j.rser.2020.110610'
28,renewable energy,1,'10.1016/j.rser.2020.110610'
29,employment,1,'10.1016/j.rser.2020.110610'
30,transition management,1,'10.1016/j.rser.2020.110610'
31,gini coefficient,1,'10.1016/j.rser.2020.110610'
32,energy,1,'10.1016/j.erss.2018.08.005'
33,climate change,1,'10.1016/j.erss.2018.08.005'
34,procedural justice,1,'10.1016/j.erss.2018.08.005'
35,intersectionality,1,'10.1016/j.erss.2018.08.005'
36,policy ethnography,1,'10.1016/j.erss.2018.08.005'
37,indigenous communities,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
38,sustainable development,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
39,ecological modernization,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
40,energy transition,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
41,mexico,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
42,vulnerability,1,'10.1016/j.erss.2017.09.035'
43,indicators,1,'10.1016/j.erss.2017.09.035'
44,spatial analysis,1,'10.1016/j.erss.2017.09.035'
45,"energy transitions ,just transitions",1,'10.1016/j.enpol.2021.112158'
46,electricity generation,1,'10.1016/j.enpol.2021.112158'
47,india,1,'10.1016/j.enpol.2021.112158'
48,green jobs,1,'10.1016/j.enpol.2021.112158'
49,hydropower,1,'10.1016/j.apenergy.2021.118235'
50,infrastructure development,1,'10.1016/j.apenergy.2021.118235'
51,mcdm,1,'10.1016/j.apenergy.2021.118235'
52,fuzzy methods,1,'10.1016/j.apenergy.2021.118235'
53,agent-based modeling,1,'10.1109/GHTC46095.2019.9033126'
54,electrification,1,'10.1109/GHTC46095.2019.9033126'
55,decentralised energy systems,1,'10.1016/j.erss.2020.101451'
56,capability approach,1,'10.1016/j.erss.2020.101451'
57,exploratory modelling,1,'10.1016/j.erss.2020.101451'
58,community social deprivation analysis,1,'10.1007/s10098-022-02278-1'
59,life cycle assessment (lca),1,'10.1007/s10098-022-02278-1'
60,social life cycle assessment (slca),1,'10.1007/s10098-022-02278-1'
61,techno-economic analysis,1,'10.1007/s10098-022-02278-1'
62,waste-to-energy,1,'10.1007/s10098-022-02278-1'
63,water-energy nexus,1,'10.1007/s10098-022-02278-1'
64,social acceptability,1,'10.1016/j.erss.2021.102455'
65,energy systems change,1,'10.1016/j.erss.2021.102455'
66,deliberative methods,1,'10.1016/j.erss.2021.102455'
67,emotion,1,'10.1016/j.erss.2021.102455'
