,parameter,count,doi
0,unemployment,6,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899', '10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
1,energy burden,5,"'10.3390/ijerph18020620', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
2,housing burden,4,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
3,poverty,4,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
4,ozone concentration,4,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
5,traffic proximity and volume,4,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899', '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
6,households energy efficiency,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
7, fuel costs,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
8,property size,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
9,number of people,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
10,after housing cost,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
11,fuel mix,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
12,national income threshold,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
13,fuel cost threshold,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
14,number of registered domestic biogas digesters,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
15,distance to nearest district headquarters,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
16,share of population made up of women,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
17,share of population categorised as marginalised,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
18,share of households with no household appliances,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
19,total number of pv installations,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
20,total installed capacity,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
21,educational attainment,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
22,linguistic isolation,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
23,asthma emergency room visits,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
24,cardiovascular disease emergency room visits,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
25,percent low birthweight births,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
26,ozone concentrations,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
27,pm2.5 concentrations,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
28,diesel pm emissions,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
29,drinking water contamination,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
30,pesticide use,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
31,toxic releases,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
32,traffic density,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
33,cleanup sites,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
