,parameter,count,doi
0,education,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2020.101451',
 '10.3390/ijerph18020620', '10.1016/j.jclepro.2019.119626'"
1,income,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2020.101451',
 '10.1016/j.enpol.2021.112205', '10.1007/s10584-017-2094-x'"
2,unemployment,4,"'10.1007/s10098-022-02278-1', '10.1016/j.enpol.2019.110935',
 '10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
3,poverty,3,"'10.1007/s10098-022-02278-1', '10.1016/j.enpol.2019.110935',
 '10.1016/j.enpol.2019.110935'"
4,energy burden,3,"'10.3390/ijerph18020620', '10.1016/j.ref.2022.02.002',
 '10.1080/13549839.2021.1916899'"
5,gender,2,"'10.1016/j.enpol.2021.112444', '10.1016/j.jclepro.2019.119626'"
6,housing burden,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
7,energy poverty,2,"'10.1016/j.ecolecon.2022.107456', '10.1080/13549839.2021.1916899'"
8,ozone concentration,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
9,traffic proximity and volume,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
10,fuel poverty,1,'10.1016/j.enpol.2021.112444'
11,emplyoment status,1,'10.1016/j.enpol.2021.112444'
12,problems to afford housing,1,'10.1016/j.enpol.2021.112444'
13,dampness in dwelling,1,'10.1016/j.enpol.2021.112444'
14,darkness in dwelling,1,'10.1016/j.enpol.2021.112444'
15,ownership,1,'10.1016/j.enpol.2021.112444'
16,health,1,'10.1016/j.enpol.2021.112444'
17,place of living (region),1,'10.1016/j.enpol.2021.112444'
18,double glazing,1,'10.1016/j.enpol.2021.112444'
19,single-parent,1,'10.1016/j.enpol.2021.112444'
20,costs of energy,1,'10.1016/j.erss.2018.05.026'
21,inclusion in planning processes,1,'10.1016/j.erss.2018.05.026'
22,profiteers,1,'10.1016/j.erss.2018.05.026'
23,potential energy shortages,1,'10.1016/j.erss.2018.05.026'
24,competitiveness,1,'10.1016/j.erss.2018.05.026'
25,benefit for future generations,1,'10.1016/j.erss.2018.05.026'
26,trust in utilities,1,'10.1016/j.erss.2018.05.026'
27,trust in research/ non-governmental/ nonprofit organizations energy independence,1,'10.1016/j.erss.2018.05.026'
28,employent numbers,1,'10.1016/j.rser.2020.110610'
29,working-age,1,'10.1016/j.rser.2020.110610'
30,employment factor ,1,'10.1016/j.rser.2020.110610'
31,households energy efficiency,1,'10.1016/j.erss.2017.09.035'
32, fuel costs,1,'10.1016/j.erss.2017.09.035'
33,property size,1,'10.1016/j.erss.2017.09.035'
34,number of people,1,'10.1016/j.erss.2017.09.035'
35,after housing cost,1,'10.1016/j.erss.2017.09.035'
36,fuel mix,1,'10.1016/j.erss.2017.09.035'
37,national income threshold,1,'10.1016/j.erss.2017.09.035'
38,fuel cost threshold,1,'10.1016/j.erss.2017.09.035'
39,distributional employment impacts: closing of thermal plants and mining and deployment of  pv,1,'10.1016/j.enpol.2021.112158'
40,job loss and gains,1,'10.1016/j.enpol.2021.112158'
41,land loss,1,'10.1016/j.enpol.2021.112158'
42,energy justice criteria and indicators,1,'10.1109/GHTC46095.2019.9033126'
43,social acceptance,1,'10.1109/GHTC46095.2019.9033126'
44,local participation,1,'10.1109/GHTC46095.2019.9033126'
45,livelihood and cultural heritage protection,1,'10.1109/GHTC46095.2019.9033126'
46,job factor,1,'10.1109/GHTC46095.2019.9033126'
47,economic inflow factors,1,'10.1109/GHTC46095.2019.9033126'
48,resources,1,'10.1016/j.erss.2020.101451'
49,household properties,1,'10.1016/j.erss.2020.101451'
50,spatial distribution of properties,1,'10.1016/j.erss.2020.101451'
51,"distribution of resources among the population,",1,'10.1016/j.erss.2020.101451'
52,labour rights,1,'10.1007/s10098-022-02278-1'
53,child labour,1,'10.1007/s10098-022-02278-1'
54,forced labour,1,'10.1007/s10098-022-02278-1'
55,excessive working time,1,'10.1007/s10098-022-02278-1'
56,wage assessment,1,'10.1007/s10098-022-02278-1'
