,parameter,count,doi
0,lihc (low income high cost),2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
1,10% indicator,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.erss.2017.09.035'"
2,regression coefficients,2,"'10.1186/s13705-017-0111-6', '10.1186/s13705-017-0111-6'"
3,neighbourhood asset score,2,"'10.1080/13549839.2021.1916899', '10.1080/13549839.2021.1916899'"
4,neighbourhood deficit score,2,"'10.1080/13549839.2021.1916899', '10.1080/13549839.2021.1916899'"
5,electricity prices,2,"'https://doi.org/10.1016/j.apenergy.2020.114749', 'https://doi.org/10.1016/j.apenergy.2020.114749'"
6,ratio of working-age population,1,'10.1016/j.rser.2020.110610'
7,employment numbers,1,'10.1016/j.rser.2020.110610'
8,gini coefficient,1,'10.1016/j.rser.2020.110610'
9,regression coefficient between energy burden and premature mortality,1,'10.3390/ijerph18020620'
10,regression coefficient between energy burden and self-reported health,1,'10.3390/ijerph18020620'
11,regression coefficient between energy burden and life expectancy,1,'10.3390/ijerph18020620'
12,electricity recovery data,1,'10.1016/j.envsci.2021.04.004'
13,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
