,parameter,count,doi
0,fuel poverty,2,"'10.1016/j.enpol.2021.112444', '10.1177/1420326X17713071'"
1,income poverty,1,'10.1016/j.enpol.2021.112444'
2,acceptance,1,'10.1016/j.erss.2018.05.026'
3,attitude towards renewable energy technologie,1,'10.1016/j.erss.2018.05.026'
4,trust in local stakeholders,1,'10.1016/j.erss.2018.05.026'
5,fairness,1,'10.1016/j.erss.2018.05.026'
6,trust in research/ non-governmental/ nonprofit organizations,1,'10.1016/j.erss.2018.05.026'
7,regional added value,1,'10.1016/j.erss.2018.05.026'
8,ratio of working-age population,1,'10.1016/j.rser.2020.110610'
9,employment numbers,1,'10.1016/j.rser.2020.110610'
10,gini coefficient,1,'10.1016/j.rser.2020.110610'
11,lihc (low income high cost),1,'10.1016/j.erss.2017.09.035'
12,10% indicator,1,'10.1016/j.erss.2017.09.035'
13,distributional employment impacts: land acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
14,spatial distribution of job loss and gains ,1,'10.1016/j.enpol.2021.112158'
15,land acquisation (around the project site): persons whose agricultural land has been acquired,1,'10.1016/j.apenergy.2021.118235'
16,persons who have become landless and houseless,1,'10.1016/j.apenergy.2021.118235'
17,other persons affected,1,'10.1016/j.apenergy.2021.118235'
18,electrification plan simulation based on a justice-based decision-strategy,1,'10.1109/GHTC46095.2019.9033126'
19,correlations between different capabilities,1,'10.1016/j.erss.2020.101451'
20,emotions,1,'10.1016/j.erss.2020.101451'
21,trust,1,'10.1016/j.erss.2020.101451'
22,senses & imagination & and thought,1,'10.1016/j.erss.2020.101451'
23,affiliation,1,'10.1016/j.erss.2020.101451'
24,control over one’s environment,1,'10.1016/j.erss.2020.101451'
25,labour rights,1,'10.1007/s10098-022-02278-1'
26,human rights,1,'10.1007/s10098-022-02278-1'
27,health and safety,1,'10.1007/s10098-022-02278-1'
28,governance,1,'10.1007/s10098-022-02278-1'
29,community infrastructure,1,'10.1007/s10098-022-02278-1'
30,medium-risk hour (mrh) in terms of labour-hours for a given production rate,1,'10.1007/s10098-022-02278-1'
31,social impact theme score,1,'10.1007/s10098-022-02278-1'
32,social impact savings,1,'10.1007/s10098-022-02278-1'
33,regression coefficients,1,'10.1186/s13705-017-0111-6'
34,exposure,1,'10.1016/j.ecolecon.2022.107456'
35,sensitivity,1,'10.1016/j.ecolecon.2022.107456'
36,energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
37,amount of subsidy per household,1,'10.1016/j.ecolecon.2022.107456'
38,loss of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
39,monetary resource waste,1,'10.1016/j.ecolecon.2022.107456'
40,regression coefficient between energy burden and premature mortality,1,'10.3390/ijerph18020620'
41,regression coefficient between energy burden and self-reported health,1,'10.3390/ijerph18020620'
42,regression coefficient between energy burden and life expectancy,1,'10.3390/ijerph18020620'
43,fuel poverty potential risk index,1,'10.1177/1420326X17713071'
44,energy poverty,1,'10.1016/j.enpol.2021.112205'
45,heating poverty,1,'10.1016/j.enpol.2021.112205'
46, health economic benefits,1,'10.1016/j.enpol.2021.112205'
47,sufficient electricity provision (in %) ,1,'10.1016/j.erss.2021.102075'
48,system-wide levelized cost,1,'10.1016/j.erss.2021.102075'
49,thermal comfort,1,'10.1016/j.enpol.2021.112265'
50,affordability,1,'10.1016/j.enpol.2021.112265'
51,environmental sustainability,1,'10.1016/j.enpol.2021.112265'
52,autonomy,1,'10.1016/j.enpol.2021.112265'
53,inclusiveness,1,'10.1016/j.enpol.2021.112265'
54,socioeconomic inequalities,1,'10.1016/j.enpol.2021.112265'
55,neighbourhood asset score,1,'10.1080/13549839.2021.1916899'
56,neighbourhood deficit score,1,'10.1080/13549839.2021.1916899'
57,electricity prices,1,'https://doi.org/10.1016/j.apenergy.2020.114749'
58,labor change,1,'10.1016/j.jclepro.2019.119626'
59,labor mobility,1,'10.1016/j.jclepro.2019.119626'
60,urbanization rate,1,'10.1016/j.jclepro.2019.119626'
61,change in household income,1,'10.1016/j.jclepro.2019.119626'
62,income gap among urban residents,1,'10.1016/j.jclepro.2019.119626'
63,carbon price,1,'10.1007/s10584-017-2094-x'
64,inequality aversion,1,'10.1007/s10584-017-2094-x'
65,time preference,1,'10.1007/s10584-017-2094-x'
66,catastrophic damages,1,'10.1007/s10584-017-2094-x'
67,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
68,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
69,income,1,'10.1007/s10584-017-2094-x'
70,electricity recovery data,1,'10.1016/j.envsci.2021.04.004'
71,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
