,parameter,count,doi
0,installed pv capacity per capita,1,'10.1016/j.enpol.2019.110935'
1,calenviroscreen (ces) score,1,'10.1016/j.enpol.2019.110935'
2,environmental justice (ej) score,1,'10.1016/j.enpol.2019.110935'
3,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
4,precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
5,annual rate of solar adoption,1,'10.1016/j.enpol.2019.110935'
6,gap of rate of solar adotion between high- and low-adopters,1,'10.1016/j.enpol.2019.110935'
7,regression coefficients,1,'10.1016/j.enpol.2019.110935'
8,correlation indicators between ejindicators and res potential,1,'10.1016/j.ref.2022.02.002'
9,population quintiles affected,1,'10.1016/j.ref.2022.02.002'
10,energy burden,1,'10.1016/j.scs.2021.103647'
11,electricity generation per capita,1,'10.1016/j.apenergy.2019.113724'
12,electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
13,investment share,1,'10.1016/j.apenergy.2019.113724'
14,regional spillover,1,'10.1016/j.apenergy.2019.113724'
15,regional equity,1,'10.1016/j.apenergy.2019.113724'
16,spatial distribution of electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
17,gini index,1,'10.1016/j.apenergy.2019.113724'
18,electricity recovery data,1,'10.1016/j.envsci.2021.04.004'
19,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
20,regression coefficients (biogas adoption vs. marginalized,1,'10.1186/s13705-017-0111-6'
21,female population and no electrical facility),1,'10.1186/s13705-017-0111-6'
22,land acquisation (around the project site),1,'10.1016/j.apenergy.2021.118235'
23,persons whose agricultural land has been acquired,1,'10.1016/j.apenergy.2021.118235'
24,persons who have become landless and houseless,1,'10.1016/j.apenergy.2021.118235'
25,other persons affected,1,'10.1016/j.apenergy.2021.118235'
26,exposure to risks,1,'10.1016/j.ecolecon.2022.107456'
27,sensitivity to changes,1,'10.1016/j.ecolecon.2022.107456'
28,amount of subsidy per household,1,'10.1016/j.ecolecon.2022.107456'
29,loss of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
30,monetary resource waste,1,'10.1016/j.ecolecon.2022.107456'
31,regression coefficient between energy burden and premature mortality,1,'10.3390/ijerph18020620'
32,regression coefficient between energy burden and self-reported health,1,'10.3390/ijerph18020620'
33,regression coefficient between energy burden and life expectancy,1,'10.3390/ijerph18020620'
34,distributional employment impacts,1,'10.1016/j.enpol.2021.112158'
35,land acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
36,spatial distribution of job loss and gains ,1,'10.1016/j.enpol.2021.112158'
37,emotions (a measure of the difference between the level of resources),1,'10.1016/j.erss.2020.101451'
38,trust (a measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours),1,'10.1016/j.erss.2020.101451'
39,"""senses and imagination and thought (a measure of both the size of the production group to which the agent belongs (the smaller",1,'10.1016/j.erss.2020.101451'
40,"the more there is to learn) and the diversity of that production group)""",1,'10.1016/j.erss.2020.101451'
41,livelihood and cultural heritage protection,1,'10.1109/GHTC46095.2019.9033126'
42,community infrastructure,1,'10.1007/s10098-022-02278-1'
43,fuel poverty,1,'10.1177/1420326X17713071'
44,fuel poverty potential risk index,1,'10.1177/1420326X17713071'
45,energy poverty,1,'10.1016/j.enpol.2021.112205'
46,heating poverty,1,'10.1016/j.enpol.2021.112205'
47, health economic benefits,1,'10.1016/j.enpol.2021.112205'
48,thermal comfort,1,'10.1016/j.enpol.2021.112265'
49,affordability,1,'10.1016/j.enpol.2021.112265'
50,environmental sustainability,1,'10.1016/j.enpol.2021.112265'
51,autonomy,1,'10.1016/j.enpol.2021.112265'
52,inclusiveness,1,'10.1016/j.enpol.2021.112265'
53,neighbourhood asset score (nas),1,'10.1080/13549839.2021.1916899'
54,neighbourhood deficit score,1,'10.1080/13549839.2021.1916899'
