,parameter,count,doi
0,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
1,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
2,regression coefficients (biogas adoption in minoritized populations),1,'10.1186/s13705-017-0111-6'
3,energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
4,correlations between different capabilities to reveal possible conflicts,1,'10.1016/j.erss.2020.101451'
5,"""affiliation (a measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. the more similar the level of capabilities",1,'10.1016/j.erss.2020.101451'
6,"the higher the level of affiliation (even if the level of capabilities is low))""",1,'10.1016/j.erss.2020.101451'
7,livelihood and cultural heritage protection,1,'10.1109/GHTC46095.2019.9033126'
8,thermal comfort,1,'10.1016/j.enpol.2021.112265'
9,affordability,1,'10.1016/j.enpol.2021.112265'
10,environmental sustainability,1,'10.1016/j.enpol.2021.112265'
11,autonomy,1,'10.1016/j.enpol.2021.112265'
12,inclusiveness,1,'10.1016/j.enpol.2021.112265'
13,neighbourhood asset score (nas),1,'10.1080/13549839.2021.1916899'
14,neighbourhood deficit score,1,'10.1080/13549839.2021.1916899'
