,parameter,count,doi
0,alternative energy future. compared to a reference or baseline,6,"'10.1016/j.rser.2020.110610', '10.1016/j.erss.2017.09.035', '10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.3390/ijerph18020620', '10.1016/j.enpol.2021.112265'"
1,e.g. calculation of energy burden of households groups or gini coefficient,6,"'10.1016/j.rser.2020.110610', '10.1016/j.ref.2022.02.002', 'https://doi.org/10.1016/j.apenergy.2020.114749', '10.3390/ijerph18020620', '10.1016/j.enpol.2021.112265', '10.1080/13549839.2021.1916899'"
2,scenarios: a scenario is a quantitative description of a possible,5,"'10.1016/j.rser.2020.110610', '10.1016/j.erss.2017.09.035', '10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.3390/ijerph18020620'"
3,e.g. calculation of energy burden of households groups or gini coefficient;discussion: discussion of the results and their impact on justice aspects in textform.,5,"'10.1016/j.erss.2017.09.035', '10.1016/j.enpol.2019.110935', '10.1016/j.scs.2021.103647', '10.1016/j.apenergy.2019.113724', '10.1186/s13705-017-0111-6'"
4,and is typically used to provide information on how to reach a certain goal.;result processing: “quantitative” analysis of results concerning justice aspects,4,"'10.1016/j.rser.2020.110610', '10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620', '10.1016/j.enpol.2021.112265'"
5,eg. the objective function,4,"'10.1016/j.erss.2017.09.035', '10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2021.112158', '10.1080/13549839.2021.1916899'"
6,boundaries,4,"'10.1016/j.erss.2017.09.035', '10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2021.112158', '10.1080/13549839.2021.1916899'"
7,inlcuding pre-processing steps for input data adjustment;simulation/optimization: integration into the simulation/optimization algorithm itself,3,"'10.1016/j.erss.2017.09.035', '10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2021.112158'"
8,constraints.;result processing: “quantitative” analysis of results concerning justice aspects,3,"'10.1016/j.erss.2017.09.035', '10.1016/j.apenergy.2019.113724', '10.1080/13549839.2021.1916899'"
9,result processing: “quantitative” analysis of results concerning justice aspects,3,"'https://doi.org/10.1016/j.apenergy.2020.114749', '10.1016/j.scs.2021.103647', '10.1186/s13705-017-0111-6'"
10,and is typically used to provide information on how to reach a certain goal.;parameterization: definition of input parameters,2,"'10.1016/j.erss.2017.09.035', '10.1016/j.apenergy.2019.113724'"
11,parameterization: definition of input parameters,2,"'10.1016/j.ref.2022.02.002', '10.1016/j.enpol.2021.112158'"
12,inlcuding pre-processing steps for input data adjustment;result processing: “quantitative” analysis of results concerning justice aspects,1,'10.1016/j.ref.2022.02.002'
13,regression analysis,1,'10.1016/j.envsci.2021.04.004'
14,constraints.;discussion: discussion of the results and their impact on justice aspects in textform.,1,'10.1016/j.enpol.2021.112158'
15,storybuilding/narrativ: detailed descriptions of energy futures (with an own methodology-section,1,'10.1016/j.enpol.2021.112265'
16,based on theories,1,'10.1016/j.enpol.2021.112265'
17,stakeholder ws). can turn into scenarios by translating them into a problem that can be solved with a model.;scenarios: a scenario is a quantitative description of a possible,1,'10.1016/j.enpol.2021.112265'
18,simulation/optimization: integration into the simulation/optimization algorithm itself,1,'10.1080/13549839.2021.1916899'
