,parameter,count,doi
0,social life cycle assessment (slca),1,'10.1007/s10098-022-02278-1'
1,spatial-statistical analysis,1,'10.1186/s13705-017-0111-6'
2,least squares regression model,1,'10.1186/s13705-017-0111-6'
3,ols regresseion model,1,'10.1186/s13705-017-0111-6'
4,geographically weighted regression (gwr) model,1,'10.1186/s13705-017-0111-6'
5,simple linear regression,1,'10.1016/j.enpol.2019.110935'
6,ordinary least squares (ols) multiple regression model,1,'10.1016/j.enpol.2019.110935'
7,normalization of overall pollution scores to determine locally specific exposure tiers,1,'10.1016/j.enpol.2019.110935'
8,assessment of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
9,descriptive statistical analysis,1,'10.1016/j.ecolecon.2022.107456'
10,spatial error regression model,1,'10.3390/ijerph18020620'
11,ols model,1,'10.3390/ijerph18020620'
12,exploratory correlational analyses,1,'10.1016/j.ref.2022.02.002'
13,uncertainty analysis,1,'10.1016/j.enpol.2021.112205'
14,"""odd + d (overview",1,'10.1016/j.enpol.2021.112265'
15,"design concepts and details + decision) model""",1,'10.1016/j.enpol.2021.112265'
16,normalisation method,1,'10.1080/13549839.2021.1916899'
17,ordinary least squares (ols) regression,1,'10.1080/13549839.2021.1916899'
18,descriptive statistics and bivariate correlations,1,'10.1080/13549839.2021.1916899'
19,geographic maps,1,'10.1080/13549839.2021.1916899'
20,regression analyses,1,'10.1080/13549839.2021.1916899'
21,spatial autororrelation,1,'10.1080/13549839.2021.1916899'
22,scenarios equality and equity price modifications ,1,'https://doi.org/10.1016/j.apenergy.2020.114749'
23,regressional analyis,1,'10.1016/j.scs.2021.103647'
24,gini index,1,'10.1016/j.apenergy.2019.113724'
25,lorenz curve,1,'10.1016/j.apenergy.2019.113724'
26,trade-off curve,1,'10.1016/j.apenergy.2019.113724'
