,parameter,count,doi
0,direct cost calculation,1,'10.1016/j.enpol.2021.112205'
1,healt and economic effects estimation (with exposure-response functions),1,'10.1016/j.enpol.2021.112205'
2,net cost-benefit estimation,1,'10.1016/j.enpol.2021.112205'
3,arcgis (two-mile radius),1,'10.1080/13549839.2021.1916899'
4,expanse (exploration of patterns in near-optimal energy scenarios),1,'10.1016/j.apenergy.2019.113724'
5,modeling to generate alternatives (mga) method,1,'10.1016/j.apenergy.2019.113724'
6,slack compared to least-cost,1,'10.1016/j.apenergy.2019.113724'
7,pareto frontier,1,'10.1016/j.apenergy.2019.113724'
8,near-optimal scenarios,1,'10.1016/j.apenergy.2019.113724'
9,policies as constraints,1,'10.1016/j.apenergy.2019.113724'
10,spatial constraints (maximal regional equity by population vs. demand),1,'10.1016/j.apenergy.2019.113724'
