,parameter,count,doi,Spatial Justice,social justice,Environmental Justice and Energy Justice,Fuel poverty,Energy justice,(Skip question: Not applicable),Justice in terms of worldviews of energy developers and Indigenous people,Environmental justice,"Dustributional impacts, vertical inequalities",Just Transition,None,"""Justice"" in general (eg. not placed in theoretical context)"
0,usa,5,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1016/j.landusepol.2017.10.021', '10.1016/j.scs.2021.103647', '10.3390/ijerph18020620'",1,0,1,0,1,0,0,1,0,0,1,0
1,mexico,3,"'https://doi.org/10.1016/j.worlddev.2021.105725', '10.1016/j.gloenvcha.2019.101985', '10.1007/s10098-022-02278-1'",0,0,0,0,0,0,1,0,0,0,2,0
2,great britain,2,"'10.1016/j.enbuild.2018.07.010', '10.1007/s10584-019-02521-7'",0,0,0,1,1,0,0,0,0,0,0,0
3,germany,2,"'10.1016/j.erss.2018.05.026', '10.1007/s10584-019-02521-7'",0,0,0,0,1,0,0,0,0,0,0,1
4,china,2,"'10.1016/j.jclepro.2019.119626', '10.1016/j.ecolecon.2022.107456'",0,0,0,0,1,0,0,0,0,0,2,0
5,none,2,"'10.1007/s10584-017-2094-x', '10.1016/j.erss.2020.101451'",0,0,0,0,1,0,0,0,0,0,1,0
6,india,2,"'10.1016/j.apenergy.2021.118235', '10.1016/j.enpol.2021.112158'",0,0,0,0,0,0,0,0,0,1,1,0
7,london,1,'10.1016/j.enbuild.2018.07.010',0,0,0,1,0,0,0,0,0,0,0,0
8,london borough of newham (lbn),1,'10.1016/j.enbuild.2018.07.010',0,0,0,1,0,0,0,0,0,0,0,0
9,porta bela (manacapuru) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,1,0,0,0,0,0,0,0,0,0,0
10,jacuru (iranduba) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,1,0,0,0,0,0,0,0,0,0,0
11,ireland,1,'10.1016/j.enpol.2021.112444',0,0,0,0,0,0,0,0,1,0,0,0
12,japan,1,'10.1016/j.rser.2020.110610',0,0,0,0,0,0,0,0,0,1,0,0
13,colorado,1,'10.1016/j.erss.2018.08.005',0,0,0,0,0,1,0,0,0,0,0,0
14,isthmus of tehuantepec,1,'https://doi.org/10.1016/j.worlddev.2021.105725',0,0,0,0,0,0,1,0,0,0,0,0
15,england ,1,'10.1016/j.erss.2017.09.035',0,0,0,0,0,0,0,0,0,0,0,1
16,port talbot,1,'10.1016/j.erss.2021.102455',0,0,0,0,1,0,0,0,0,0,0,0
17,south wales,1,'10.1016/j.erss.2021.102455',0,0,0,0,1,0,0,0,0,0,0,0
18,united kingdom,1,'10.1016/j.erss.2021.102455',0,0,0,0,1,0,0,0,0,0,0,0
19,norway,1,'10.1007/s10584-019-02521-7',0,0,0,0,1,0,0,0,0,0,0,0
20,france ,1,'10.1007/s10584-019-02521-7',0,0,0,0,1,0,0,0,0,0,0,0
21,california,1,'10.1016/j.enpol.2019.110935',0,0,0,0,0,0,0,1,0,0,0,0
22,costilla county,1,'10.1016/j.ref.2022.02.002',0,0,0,0,1,0,0,0,0,0,0,0
23,estonia,1,'10.1016/j.polgeo.2021.102544',0,0,0,0,1,0,0,0,0,0,0,0
24,sub saharan africa,1,'10.1016/j.erss.2021.102075',0,0,0,0,1,0,0,0,0,0,0,0
25,tanzania,1,'https://doi.org/10.1016/j.apenergy.2020.114749',0,0,0,0,1,0,0,0,0,0,0,0
26,chicago,1,'10.1016/j.scs.2021.103647',0,0,1,0,0,0,0,0,0,0,0,0
27,bangladesh,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,1,0
28,netherlands,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,2,0
29,malawi,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,1,0
30,south africa,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,1,0
31,switzerland,1,'10.1016/j.apenergy.2019.113724',0,0,0,0,1,0,0,0,0,0,0,0
32,swiss municipalities,1,'10.1016/j.apenergy.2019.113724',0,0,0,0,1,0,0,0,0,0,0,0
33,puerto rico,1,'10.1016/j.envsci.2021.04.004',0,0,0,0,0,0,0,1,0,0,0,0
34,nepal,1,'10.1186/s13705-017-0111-6',0,0,0,0,1,0,0,0,0,0,0,0
35, village development committee (vdc),1,'10.1186/s13705-017-0111-6',0,0,0,0,1,0,0,0,0,0,0,0
36,kapilvastu district,1,'10.1186/s13705-017-0111-6',0,0,0,0,1,0,0,0,0,0,0,0
37,kaski district,1,'10.1186/s13705-017-0111-6',0,0,0,0,1,0,0,0,0,0,0,0
38,saptari district,1,'10.1186/s13705-017-0111-6',0,0,0,0,1,0,0,0,0,0,0,0
39,gaocheng district,1,'10.1016/j.ecolecon.2022.107456',0,0,0,0,1,0,0,0,0,0,0,0
