,Indicator,1. DOI ,2. Author-defined keywords (no own synopsis) ,5. To which energy sector (or research field) is justice applied?,6. To which country/region is the paper applied? ,7. At which scale is the paper subject discussed? ,8. What is the time-scale assessed in the paper?,9. Which energy-related examples are discussed in the paper?,12. Which justice definition is explicitly used in the paper?,17. Is a model applied in the paper?,19. Which groups of people are assessed with the model?,23. At which place of the model are justice indicators integrated?,25. Is a case study with a comparison of a techno-economic and a socially/just optimized energy system included?,Which justice dimension is addressed?
0,installed pv capacity per capita,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
1,calenviroscreen (ces) score,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
2,environmental justice (ej) score,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
3,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,"Distributional-Justice, Recognition-Justice"
4,precentage of census tracts with certain ces score (sensitivity plus exposure),10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
5,annual rate of solar adoption,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
6,gap of rate of solar adotion between high- and low-adopters,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
7,regression coefficients,10.1016/j.enpol.2019.110935,"Rooftop solar, Photovoltaics, Environmental justice, CalEnviroScreen, Energy justice, Distributed energy resources",Electricity,"USA, California",State/Region;City/Municipality;Community,Past;Present (eg. status quo assessment),"TECHNOLOGY-SPECIFIC: Discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind;POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts;SPATIALITY: Geospatial perspective",Environmental justice,Yes,Income;Health;Composite groups based on exposure to pollution and sensitivity (socio-economic and health),"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
8,correlation indicators between ejindicators and res potential,10.1016/j.ref.2022.02.002,,Electricity,"USA, Costilla County",City/Municipality,Present (eg. status quo assessment),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);SPATIALITY: Geospatial perspective",Energy justice,Yes,Minorities,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
9,population quintiles affected,10.1016/j.ref.2022.02.002,,Electricity,"USA, Costilla County",City/Municipality,Present (eg. status quo assessment),"PROJECT PLANNING: Infrastructure and capacity implementation, potentially step-wise (likely near future);SPATIALITY: Geospatial perspective",Energy justice,Yes,Minorities,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
