,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,"dustributional impacts, vertical inequalities",10.1016/j.enpol.2021.112444,,,,,,
1,"""justice"" in general (eg. not placed in theoretical context)",10.1016/j.erss.2018.05.026,,,,,,
2,just transition,10.1016/j.rser.2020.110610,,,,,,
3,"""justice"" in general (eg. not placed in theoretical context)",10.1016/j.erss.2017.09.035,,,,,,
4,environmental justice,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
5,energy justice,10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
6,energy justice,10.1016/j.erss.2021.102075,,,,,,
7,energy justice,10.1016/j.apenergy.2020.114749,,,,,,
8,environmental justice and energy justice,10.1016/j.scs.2021.103647,Energy burden,,,,,
9,energy justice,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
10,environmental justice,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
11,energy justice,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
12,energy justice,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
13,just transition,10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
14,energy justice,10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
15,energy justice,10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
16,social justice,10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
17,environmental justice,10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
