,parameter,count,doi
0, wealth,2,"'10.1016/j.erss.2018.08.005', '10.3390/ijerph18020620'"
1,income,2,"'10.1007/s10584-019-02521-7', '10.1016/j.landusepol.2017.10.021'"
2, race,2,"'10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620'"
3, moderate,1,'10.1016/j.enbuild.2018.07.010'
4, high),1,'10.1016/j.enbuild.2018.07.010'
5, indoor issues (damp,1,'10.1016/j.enbuild.2018.07.010'
6, mold,1,'10.1016/j.enbuild.2018.07.010'
7, condensation),1,'10.1016/j.enbuild.2018.07.010'
8,passive systems,1,'10.1016/j.enpol.2020.111256'
9, building materials,1,'10.1016/j.enpol.2020.111256'
10, ability to find strategies for heating/cooling,1,'10.1016/j.enpol.2020.111256'
11, psychological factors,1,'10.1016/j.enpol.2020.111256'
12,power,1,'10.1016/j.erss.2018.08.005'
13, equity,1,'10.1016/j.erss.2018.08.005'
14, fairness,1,'10.1016/j.erss.2018.08.005'
15, justice,1,'10.1016/j.erss.2018.08.005'
16, privilege and (identify-based) oppression,1,'10.1016/j.erss.2018.08.005'
17, discrimination (intersectional view),1,'10.1016/j.erss.2018.08.005'
18, intersection of ethnicity,1,'10.1016/j.erss.2018.08.005'
19, language,1,'10.1016/j.erss.2018.08.005'
20, transportation and work flexibility,1,'10.1016/j.erss.2018.08.005'
21, documentation status,1,'10.1016/j.erss.2018.08.005'
22, direct or indirect dependence on a company,1,'10.1016/j.erss.2018.08.005'
23, industry etc.,1,'10.1016/j.erss.2018.08.005'
24, class,1,'10.1016/j.erss.2018.08.005'
25, sexuality,1,'10.1016/j.erss.2018.08.005'
26, ability,1,'10.1016/j.erss.2018.08.005'
27,"""developers’ non-recognition of the value of reciprocity among the local population translates into practices that make people feel disrespected and not recognized as equals",1,'10.1016/j.worlddev.2021.105725'
28," social discrimination""",1,'10.1016/j.worlddev.2021.105725'
29, pluriversal technologies: participatory design (co-designing,1,'10.1016/j.worlddev.2021.105725'
30, co-production,1,'10.1016/j.worlddev.2021.105725'
31, co-ownership),1,'10.1016/j.worlddev.2021.105725'
32, hostrical processes of accumuluation by dispossession and colonisalism,1,'10.1016/j.worlddev.2021.105725'
33, cultural domination,1,'10.1016/j.worlddev.2021.105725'
34, non-recogition of indigenous identities and disrespect for local customs lead to many conflicts and misunderstandings (incl. non-acceptance) around wind energy projects,1,'10.1016/j.worlddev.2021.105725'
35,energy efficiency of property,1,'10.1016/j.erss.2017.09.035'
36, needs,1,'10.1016/j.erss.2017.09.035'
37, the flexibility to meet these needs,1,'10.1016/j.erss.2017.09.035'
38, energy-related practices,1,'10.1016/j.erss.2017.09.035'
39, quality of dwelling fabric,1,'10.1016/j.erss.2017.09.035'
40, energy fuel costs,1,'10.1016/j.erss.2017.09.035'
41, energy supply issues,1,'10.1016/j.erss.2017.09.035'
42, stability of household income,1,'10.1016/j.erss.2017.09.035'
43, before housing costs (bhc),1,'10.1016/j.erss.2017.09.035'
44, after housing costs,1,'10.1016/j.erss.2017.09.035'
45,technical literacy,1,'10.1016/j.erss.2021.102455'
46, ability to affort appliances,1,'10.1016/j.erss.2021.102455'
47, employment status,1,'10.1016/j.erss.2021.102455'
48, ability to carry higher mental load (time availability),1,'10.1016/j.erss.2021.102455'
49, risk perception,1,'10.1016/j.erss.2021.102455'
50, trust in community,1,'10.1016/j.erss.2021.102455'
51, trust in governance,1,'10.1016/j.erss.2021.102455'
52, trust in private companies,1,'10.1016/j.erss.2021.102455'
53, social connectedness/network,1,'10.1016/j.erss.2021.102455'
54, price instability,1,'10.1016/j.erss.2021.102455'
55, digital vulnerability,1,'10.1016/j.erss.2021.102455'
56, health status,1,'10.1016/j.erss.2021.102455'
57, social housing,1,'10.1007/s10584-019-02521-7'
58, ability to shift demand,1,'10.1007/s10584-019-02521-7'
59, digital literacy,1,'10.1007/s10584-019-02521-7'
60, barriers to participate,1,'10.1007/s10584-019-02521-7'
61, long-term cost for taxpayers,1,'10.1007/s10584-019-02521-7'
62, risk of accidents,1,'10.1007/s10584-019-02521-7'
63, uneven access to subsidies and incentives,1,'10.1007/s10584-019-02521-7'
64, ownership rate based on income,1,'10.1007/s10584-019-02521-7'
65, increase in electricity bills,1,'10.1007/s10584-019-02521-7'
66, efficiency measures based on income,1,'10.1007/s10584-019-02521-7'
67, building efficiency/insulation,1,'10.1007/s10584-019-02521-7'
68, efficient appliances,1,'10.1007/s10584-019-02521-7'
69, retraining,1,'10.1007/s10584-019-02521-7'
70, retraining at higher ages,1,'10.1007/s10584-019-02521-7'
71, limited access to finance,1,'10.1007/s10584-019-02521-7'
72, ability to participate due to housing status,1,'10.1007/s10584-019-02521-7'
73, unsafe working conditions in the supply line,1,'10.1007/s10584-019-02521-7'
74, rate of disconnection,1,'10.1007/s10584-019-02521-7'
75, rate of service disruption,1,'10.1007/s10584-019-02521-7'
76, rising energy costs,1,'10.1007/s10584-019-02521-7'
77,  environmental burdens,1,'10.1007/s10584-019-02521-7'
78, energy access,1,'10.1007/s10584-019-02521-7'
79, limited ownership due to income,1,'10.1007/s10584-019-02521-7'
80, (inflexible) consumption patterns,1,'10.1007/s10584-019-02521-7'
81,median us energy burden,1,'10.1016/j.enpol.2019.110935'
82, median low-income household's energy burden,1,'10.1016/j.enpol.2019.110935'
83, bill savings,1,'10.1016/j.enpol.2019.110935'
84, pv rebates,1,'10.1016/j.enpol.2019.110935'
85, pv income tax credits,1,'10.1016/j.enpol.2019.110935'
86, solar resource potential,1,'10.1016/j.enpol.2019.110935'
87, pv costs,1,'10.1016/j.enpol.2019.110935'
88, electricity prices,1,'10.1016/j.enpol.2019.110935'
89, fuel poverty,1,'10.1016/j.enpol.2019.110935'
90, energy insecurity,1,'10.1016/j.enpol.2019.110935'
91, upfront costs,1,'10.1016/j.enpol.2019.110935'
92, lack of access to financial instruments,1,'10.1016/j.enpol.2019.110935'
93, lack of information,1,'10.1016/j.enpol.2019.110935'
94, language barriers,1,'10.1016/j.enpol.2019.110935'
95, behavioral barriers,1,'10.1016/j.enpol.2019.110935'
96, total number of pv installations,1,'10.1016/j.enpol.2019.110935'
97, access to information,1,'10.1016/j.enpol.2019.110935'
98, perception of risk,1,'10.1016/j.enpol.2019.110935'
99, neighborhood effects,1,'10.1016/j.enpol.2019.110935'
100, social diffusion peer effect,1,'10.1016/j.enpol.2019.110935'
101, ethnicity,1,'10.1016/j.enpol.2019.110935'
102, location of fossil fuelled plants,1,'10.1016/j.enpol.2019.110935'
103, distances from fracking sites to communities,1,'10.1016/j.landusepol.2017.10.021'
104,ecological footprint per capita,1,'10.1016/j.polgeo.2021.102544'
105,availability of the means of energy production,1,'10.1016/j.erss.2021.102075'
106, availability of technologies,1,'10.1016/j.erss.2021.102075'
107, availability of professional expertise,1,'10.1016/j.erss.2021.102075'
108, availability of financial resources,1,'10.1016/j.erss.2021.102075'
109, cost of exploration,1,'10.1016/j.erss.2021.102075'
110, cost of extraction,1,'10.1016/j.erss.2021.102075'
111, power balance,1,'10.1016/j.erss.2021.102075'
112, decentralized energy systems,1,'10.1016/j.erss.2021.102075'
113,"equality framework"":"" need""",1,'10.1016/j.apenergy.2020.114749'
114,""" fitness""",1,'10.1016/j.apenergy.2020.114749'
115,""" desert""",1,'10.1016/j.apenergy.2020.114749'
116,""" status""",1,'10.1016/j.apenergy.2020.114749'
117,""" and position",1,'10.1016/j.apenergy.2020.114749'
118, recipients capabilities (fitness),1,'10.1016/j.apenergy.2020.114749'
119,north-south dependence and excercise of elite power (hegecomic narratives),1,'10.1016/j.gloenvcha.2019.101985'
120, experimentation of elites,1,'10.1016/j.gloenvcha.2019.101985'
121, financialistion (eg use of financia instruments,1,'10.1016/j.gloenvcha.2019.101985'
122, innovations,1,'10.1016/j.gloenvcha.2019.101985'
123, logics) used by elites,1,'10.1016/j.gloenvcha.2019.101985'
124, dispossesion done by (market) elites,1,'10.1016/j.gloenvcha.2019.101985'
125, exploitable solar pv potential,1,'10.1016/j.apenergy.2019.113724'
126, economic resources,1,'10.1016/j.apenergy.2019.113724'
127, economic growth,1,'10.1016/j.apenergy.2019.113724'
128, greenhouse gas reductions,1,'10.1016/j.apenergy.2019.113724'
129, health impacts,1,'10.1016/j.apenergy.2019.113724'
130,  slack to least-cost solution,1,'10.1016/j.apenergy.2019.113724'
131,age,1,'10.1016/j.envsci.2021.04.004'
132, location of house (close to environmental disaster,1,'10.1016/j.envsci.2021.04.004'
133, rich/poor neighbourhoods),1,'10.1016/j.envsci.2021.04.004'
134, race/ethnicity,1,'10.1016/j.envsci.2021.04.004'
135," ""%"" non-white (percent of population in the municipality that is nonwhite)",1,'10.1016/j.envsci.2021.04.004'
136, number of women in biodigester committee,1,'10.1186/s13705-017-0111-6'
137, distribution of installation efforts (cost,1,'10.1186/s13705-017-0111-6'
138, time),1,'10.1186/s13705-017-0111-6'
139, distribution of maintenance work,1,'10.1186/s13705-017-0111-6'
140, distribution of operational work,1,'10.1186/s13705-017-0111-6'
141, perceived fairness regarding distribution of operational work,1,'10.1186/s13705-017-0111-6'
142, provided training,1,'10.1186/s13705-017-0111-6'
143,hydropower: experience of hydropower projects negative for local population groups,1,'10.1016/j.apenergy.2021.118235'
144, particularly the displaced,1,'10.1016/j.apenergy.2021.118235'
145, it ouroots residents,1,'10.1016/j.apenergy.2021.118235'
146, destroys livelihoods,1,'10.1016/j.apenergy.2021.118235'
147, and fails to provide adequate economic opportunities to the displaced,1,'10.1016/j.apenergy.2021.118235'
148, people los agricultural,1,'10.1016/j.apenergy.2021.118235'
149, forest,1,'10.1016/j.apenergy.2021.118235'
150, and fisihing resources,1,'10.1016/j.apenergy.2021.118235'
151, people are at risk o flooding as areas can be washed away when the dam is fully released,1,'10.1016/j.apenergy.2021.118235'
152, cultural losses to the displaced people who are also cut off from their social netwrks and a variety of capitals,1,'10.1016/j.apenergy.2021.118235'
153,heating cost,1,'10.1016/j.ecolecon.2022.107456'
154, saftey perfomance,1,'10.1016/j.ecolecon.2022.107456'
155, career field,1,'10.1016/j.ecolecon.2022.107456'
156, monthly family income,1,'10.1016/j.ecolecon.2022.107456'
157, age of housing,1,'10.1016/j.ecolecon.2022.107456'
158, type of housing,1,'10.1016/j.ecolecon.2022.107456'
159, percentage of total expenditures spent on energy,1,'10.1016/j.ecolecon.2022.107456'
160, willingness to change behaviour,1,'10.1016/j.ecolecon.2022.107456'
161, active participation in energy reform,1,'10.1016/j.ecolecon.2022.107456'
162, perceived risks,1,'10.1016/j.ecolecon.2022.107456'
163, public health,1,'10.3390/ijerph18020620'
164, air pollution exposure,1,'10.3390/ijerph18020620'
165, risk of mortality from the effects of poor environmental quality,1,'10.3390/ijerph18020620'
166,  income inequality,1,'10.3390/ijerph18020620'
167, fuel expenditures,1,'10.3390/ijerph18020620'
168, distribution of burdens,1,'10.3390/ijerph18020620'
169,  percentage of low- to medium income households,1,'10.3390/ijerph18020620'
170,distributional employment impacts: skills and educational level,1,'10.1016/j.enpol.2021.112158'
171, assessment based on distribution by gender,1,'10.1016/j.enpol.2021.112158'
172, education & skill requirement,1,'10.1016/j.enpol.2021.112158'
173, spatial distribution of job gains and losses (inter-regional inequalities),1,'10.1016/j.enpol.2021.112158'
174, local economy and identity,1,'10.1016/j.enpol.2021.112158'
175, land loss/acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
176, closing of thermal power plants and mining and deployment of res,1,'10.1016/j.enpol.2021.112158'
177,toxic waste sites,1,'10.1080/13549839.2021.1916899'
178, diesel particulate matter,1,'10.1080/13549839.2021.1916899'
