,parameter,count,doi
0, energy burden,4,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620', '10.1016/j.enpol.2021.112205'"
1, fuel poverty,3,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.enpol.2020.111256', '10.1016/j.erss.2017.09.035'"
2, energy poverty,3,"'10.1016/j.apenergy.2019.113724', '10.1016/j.ecolecon.2022.107456', '10.1080/13549839.2021.1916899'"
3, job creation,2,"'10.1016/j.apenergy.2019.113724', '10.1007/s10098-022-02278-1'"
4, human health,2,"'10.1002/ente.202000668', '10.1007/s10098-022-02278-1'"
5, (control over one’s environment,2,"'10.1016/j.erss.2020.101451', '10.1016/j.erss.2020.101451'"
6, gender equality,2,"'10.1007/s10098-022-02278-1', '10.1007/s10098-022-02278-1'"
7,death due to energy thefts,1,'10.1016/j.enpol.2020.111256'
8, thermal comfort,1,'10.1016/j.enpol.2020.111256'
9, energy affordability,1,'10.1016/j.enpol.2020.111256'
10,ratio of working age population,1,'10.1016/j.rser.2020.110610'
11,access to and influence over decision-making processes (meaningful participation,1,'10.1016/j.erss.2018.08.005'
12, procedural justice),1,'10.1016/j.erss.2018.08.005'
13, distribution of risks and benefits,1,'10.1016/j.erss.2018.08.005'
14, wealth,1,'10.1016/j.erss.2018.08.005'
15, time and money to influence processes,1,'10.1016/j.erss.2018.08.005'
16,employment for only a small portion of the population,1,'10.1016/j.worlddev.2021.105725'
17, new tenancy payments that only benefits certain farmers and one-way community benefits enjoyed by local governments have established hierarchies of power that break with reciprocal relationships in these communities,1,'10.1016/j.worlddev.2021.105725'
18, decline of indigenous traditions,1,'10.1016/j.worlddev.2021.105725'
19, attitudes towards wind farms as a result of how people (indigenous communties) and the jegemonic worldviews of energy developers are exercised,1,'10.1016/j.worlddev.2021.105725'
20,social vulnerability,1,'10.1016/j.erss.2017.09.035'
21, lihc (low income high cost),1,'10.1016/j.erss.2017.09.035'
22,creation of jobs,1,'10.1007/s10584-019-02521-7'
23, inter-generational shift of costs,1,'10.1007/s10584-019-02521-7'
24, job loss,1,'10.1007/s10584-019-02521-7'
25, concentration of jobs,1,'10.1007/s10584-019-02521-7'
