,parameter,count,doi
0,microsimulation model,1,'10.1016/j.enpol.2021.112444'
1, regression,1,'10.1016/j.enpol.2021.112444'
2,explorative factor analysis (efa),1,'10.1016/j.erss.2018.05.026'
3, interfactor-correlations,1,'10.1016/j.erss.2018.05.026'
4, cronbach's α,1,'10.1016/j.erss.2018.05.026'
5,  structural equation modeling (sem) multigroup analysis,1,'10.1016/j.erss.2018.05.026'
6,gini coefficient,1,'10.1016/j.rser.2020.110610'
7, calculating employment numbers using employment factors,1,'10.1016/j.rser.2020.110610'
8,system dynamics (stella® architect),1,'10.1016/j.erss.2021.102075'
9, causual loop diagrams (clds),1,'10.1016/j.erss.2021.102075'
10, simulation model,1,'10.1016/j.erss.2021.102075'
11, goal seeking meachanism,1,'10.1016/j.erss.2021.102075'
12,onsset and equality and equity price modifications afterwards,1,'10.1016/j.apenergy.2020.114749'
13,dynamic computable general equilibrium (cge) model,1,'10.1016/j.jclepro.2019.119626'
14,nested inequalities climate economy model (nice),1,'10.1007/s10584-017-2094-x'
15, integrated assessment model (iam),1,'10.1007/s10584-017-2094-x'
16, regional integrated model of climate and the economy (rice),1,'10.1007/s10584-017-2094-x'
17,regression analysis using environmental justice indices,1,'10.1016/j.envsci.2021.04.004'
18, environmental and demographic index construction,1,'10.1016/j.envsci.2021.04.004'
19, electrcity recovery data,1,'10.1016/j.envsci.2021.04.004'
20,social,1,'10.1016/j.apenergy.2021.118235'
21, economic,1,'10.1016/j.apenergy.2021.118235'
22, environmental and technical assessment (seeta) model that combines four fuzzy multi-criteria decision making techniques viz. fuzzy stepwise weighted assessment ratio analysis,1,'10.1016/j.apenergy.2021.118235'
23, fuzzy multi-objective optimization by ratio analysis,1,'10.1016/j.apenergy.2021.118235'
24, fuzzy weighted aggregated sum product assessment and fuzzy technique,1,'10.1016/j.apenergy.2021.118235'
25,spreadsheet based analytical model to study the spatial distribution and magnitude of the labor impacts associated with clean energy transitions in the power sector in india,1,'10.1016/j.enpol.2021.112158'
26,agent-based model,1,'10.1016/j.erss.2020.101451'
27, scenario discovery,1,'10.1016/j.erss.2020.101451'
28, exploratory modelling and analysis (ema),1,'10.1016/j.erss.2020.101451'
29, patient rule induction method (prim),1,'10.1016/j.erss.2020.101451'
30,agent-based modeling (abm),1,'10.1109/GHTC46095.2019.9033126'
31, babster (bottom-up agentbased strategy test-kit for electricity with renewables),1,'10.1109/GHTC46095.2019.9033126'
