,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,city/rural households,10.1016/j.enpol.2021.112444,,,,,,
1,houseownership and rent,10.1016/j.enpol.2021.112444,,,,,,
2,building conditions,10.1016/j.enpol.2021.112444,,,,,,
3,number of household members,10.1016/j.enpol.2021.112444,,,,,,
4,age,10.1016/j.enpol.2021.112444,,,,,,
5,income,10.1016/j.enpol.2021.112444,,,,,,
6,health,10.1016/j.enpol.2021.112444,,,,,,
7,gender,10.1016/j.enpol.2021.112444,,,,,,
8,average consumer,10.1016/j.enpol.2021.112444,,,,,,
9,city/rural households,10.1016/j.erss.2018.05.026,,,,,,
10,average consumer,10.1016/j.erss.2018.05.026,,,,,,
11,age,10.1016/j.rser.2020.110610,,,,,,
12,occupation,10.1016/j.rser.2020.110610,,,,,,
13,average consumer,10.1016/j.rser.2020.110610,,,,,,
14,city/rural households,10.1016/j.erss.2017.09.035,,,,,,
15,building conditions,10.1016/j.erss.2017.09.035,,,,,,
16,number of household members,10.1016/j.erss.2017.09.035,,,,,,
17,income,10.1016/j.erss.2017.09.035,,,,,,
18,income,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
19,health,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
20,composite groups based on exposure to pollution and sensitivity (socio-economic and health),10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
21,minorities,10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
22,city/rural households,10.1016/j.erss.2021.102075,,,,,,
