,parameter,count,doi
0,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
1,risk of environmental injustice based on demographic and environmental indicators,1,'10.1016/j.envsci.2021.04.004'
2,regression coefficients (biogas adoption in minoritized populations),1,'10.1186/s13705-017-0111-6'
3,thermal comfort,1,'10.1016/j.enpol.2021.112265'
4, affordability,1,'10.1016/j.enpol.2021.112265'
5, environmental sustainability,1,'10.1016/j.enpol.2021.112265'
6, autonomy,1,'10.1016/j.enpol.2021.112265'
7, inclusiveness,1,'10.1016/j.enpol.2021.112265'
8,neighbourhood asset score (nas),1,'10.1080/13549839.2021.1916899'
9, neighbourhood deficit score,1,'10.1080/13549839.2021.1916899'
