,Distributional-Justice,Distributional-Justice,Distributional-Justice,Procedual-Justice,Procedual-Justice,Procedual-Justice,Recognition-Justice,Recognition-Justice,Recognition-Justice,Restorative-Justice,Restorative-Justice,Restorative-Justice,Cosmopolitan-Justice,Cosmopolitan-Justice,Cosmopolitan-Justice,Intergenerational-Justice,Intergenerational-Justice,Intergenerational-Justice
,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi
0,installed pv capacity per capita,1.0,'10.1016/j.enpol.2019.110935',"""control over one’s environment (a measure of the size of the production group to which the agent belongs; the smaller the group",1.0,'10.1016/j.erss.2020.101451',disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1.0,'10.1016/j.enpol.2019.110935',land acquisation (around the project site),1.0,'10.1016/j.apenergy.2021.118235',labour rights,1.0,'10.1007/s10098-022-02278-1',,,
1, calenviroscreen (ces) score,1.0,'10.1016/j.enpol.2019.110935'," the higher the level of control)""",1.0,'10.1016/j.erss.2020.101451',risk of environmental injustice based on demographic and environmental indicators,1.0,'10.1016/j.envsci.2021.04.004', persons whose agricultural land has been acquired,1.0,'10.1016/j.apenergy.2021.118235', human rights,1.0,'10.1007/s10098-022-02278-1',,,
2, environmental justice (ej) score,1.0,'10.1016/j.enpol.2019.110935',local-participation,1.0,'10.1109/GHTC46095.2019.9033126',regression coefficients (biogas adoption in minoritized populations),1.0,'10.1186/s13705-017-0111-6', persons who have become landless and houseless,1.0,'10.1016/j.apenergy.2021.118235', health and safety,1.0,'10.1007/s10098-022-02278-1',,,
3, disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure),1.0,'10.1016/j.enpol.2019.110935', job factor,1.0,'10.1109/GHTC46095.2019.9033126',energy vulnerability,1.0,'10.1016/j.ecolecon.2022.107456',distributional employment impacts,1.0,'10.1016/j.enpol.2021.112158', community infrastructure,1.0,'10.1007/s10098-022-02278-1',,,
4, precentage of census tracts with certain ces score (sensitivity plus exposure),1.0,'10.1016/j.enpol.2019.110935', economic inflow factors,1.0,'10.1109/GHTC46095.2019.9033126',correlations between different capabilities to reveal possible conflicts,1.0,'10.1016/j.erss.2020.101451', land acquisation and compensation,1.0,'10.1016/j.enpol.2021.112158', governance,1.0,'10.1007/s10098-022-02278-1',,,
5, annual rate of solar adoption,1.0,'10.1016/j.enpol.2019.110935',labour rights,1.0,'10.1007/s10098-022-02278-1'," ""affiliation (a measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. the more similar the level of capabilities",1.0,'10.1016/j.erss.2020.101451',,,, medium-risk hour (mrh) in terms of labour-hours for a given production rate,1.0,'10.1007/s10098-022-02278-1',,,
6, gap of rate of solar adotion between high- and low-adopters,1.0,'10.1016/j.enpol.2019.110935', human rights,1.0,'10.1007/s10098-022-02278-1'," the higher the level of affiliation (even if the level of capabilities is low))""",1.0,'10.1016/j.erss.2020.101451',,,, social impact theme score,1.0,'10.1007/s10098-022-02278-1',,,
7, regression coefficients,1.0,'10.1016/j.enpol.2019.110935', governance,1.0,'10.1007/s10098-022-02278-1',livelihood and cultural heritage protection,1.0,'10.1109/GHTC46095.2019.9033126',,,, social impact savings,1.0,'10.1007/s10098-022-02278-1',,,
8,correlation indicators between ejindicators and res potential,1.0,'10.1016/j.ref.2022.02.002', medium-risk hour (mrh) in terms of labour-hours for a given production rate,1.0,'10.1007/s10098-022-02278-1',thermal comfort,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,
9, population quintiles affected,1.0,'10.1016/j.ref.2022.02.002', social impact theme score,1.0,'10.1007/s10098-022-02278-1', affordability,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,
10,energy burden,1.0,'10.1016/j.scs.2021.103647', social impact savings,1.0,'10.1007/s10098-022-02278-1', environmental sustainability,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,
11,electricity generation per capita,1.0,'10.1016/j.apenergy.2019.113724',,,, autonomy,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,
12, electricity generation per demand,1.0,'10.1016/j.apenergy.2019.113724',,,, inclusiveness,1.0,'10.1016/j.enpol.2021.112265',,,,,,,,,
13, investment share,1.0,'10.1016/j.apenergy.2019.113724',,,,neighbourhood asset score (nas),1.0,'10.1080/13549839.2021.1916899',,,,,,,,,
14, regional spillover,1.0,'10.1016/j.apenergy.2019.113724',,,, neighbourhood deficit score,1.0,'10.1080/13549839.2021.1916899',,,,,,,,,
15, regional equity,1.0,'10.1016/j.apenergy.2019.113724',,,,,,,,,,,,,,,
16, spatial distribution of electricity generation per demand,1.0,'10.1016/j.apenergy.2019.113724',,,,,,,,,,,,,,,
17, gini index,1.0,'10.1016/j.apenergy.2019.113724',,,,,,,,,,,,,,,
18,electricity recovery data,1.0,'10.1016/j.envsci.2021.04.004',,,,,,,,,,,,,,,
19, risk of environmental injustice based on demographic and environmental indicators,1.0,'10.1016/j.envsci.2021.04.004',,,,,,,,,,,,,,,
20,regression coefficients (biogas adoption vs. marginalized,1.0,'10.1186/s13705-017-0111-6',,,,,,,,,,,,,,,
21, female population and no electrical facility),1.0,'10.1186/s13705-017-0111-6',,,,,,,,,,,,,,,
22,land acquisation (around the project site),1.0,'10.1016/j.apenergy.2021.118235',,,,,,,,,,,,,,,
23, persons whose agricultural land has been acquired,1.0,'10.1016/j.apenergy.2021.118235',,,,,,,,,,,,,,,
24, persons who have become landless and houseless,1.0,'10.1016/j.apenergy.2021.118235',,,,,,,,,,,,,,,
25, other persons affected,1.0,'10.1016/j.apenergy.2021.118235',,,,,,,,,,,,,,,
26,exposure to risks,1.0,'10.1016/j.ecolecon.2022.107456',,,,,,,,,,,,,,,
27, sensitivity to changes,1.0,'10.1016/j.ecolecon.2022.107456',,,,,,,,,,,,,,,
28, amount of subsidy per household,1.0,'10.1016/j.ecolecon.2022.107456',,,,,,,,,,,,,,,
29, loss of distributive justice,1.0,'10.1016/j.ecolecon.2022.107456',,,,,,,,,,,,,,,
30, monetary resource waste,1.0,'10.1016/j.ecolecon.2022.107456',,,,,,,,,,,,,,,
31,regression coefficient between energy burden and premature mortality,1.0,'10.3390/ijerph18020620',,,,,,,,,,,,,,,
32, regression coefficient between energy burden and self-reported health,1.0,'10.3390/ijerph18020620',,,,,,,,,,,,,,,
33, regression coefficient between energy burden and life expectancy,1.0,'10.3390/ijerph18020620',,,,,,,,,,,,,,,
34,distributional employment impacts,1.0,'10.1016/j.enpol.2021.112158',,,,,,,,,,,,,,,
35, land acquisation and compensation,1.0,'10.1016/j.enpol.2021.112158',,,,,,,,,,,,,,,
36, spatial distribution of job loss and gains ,1.0,'10.1016/j.enpol.2021.112158',,,,,,,,,,,,,,,
37,emotions (a measure of the difference between the level of resources),1.0,'10.1016/j.erss.2020.101451',,,,,,,,,,,,,,,
38, trust (a measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours),1.0,'10.1016/j.erss.2020.101451',,,,,,,,,,,,,,,
39," ""senses and imagination and thought (a measure of both the size of the production group to which the agent belongs (the smaller",1.0,'10.1016/j.erss.2020.101451',,,,,,,,,,,,,,,
40," the more there is to learn) and the diversity of that production group)""",1.0,'10.1016/j.erss.2020.101451',,,,,,,,,,,,,,,
41,livelihood and cultural heritage protection,1.0,'10.1109/GHTC46095.2019.9033126',,,,,,,,,,,,,,,
42,community infrastructure,1.0,'10.1007/s10098-022-02278-1',,,,,,,,,,,,,,,
43,fuel poverty,1.0,'10.1177/1420326X17713071',,,,,,,,,,,,,,,
44, fuel poverty potential risk index,1.0,'10.1177/1420326X17713071',,,,,,,,,,,,,,,
