,storybuilding-narrative,storybuilding-narrative,storybuilding-narrative,scenario-building,scenario-building,scenario-building,parameterization,parameterization,parameterization,simulation-optimization,simulation-optimization,simulation-optimization,result-processing,result-processing,result-processing,discussion,discussion,discussion
,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi,parameter,count,doi
0,framework,1.0,'10.1016/j.erss.2021.102075',identify disadvantaged communities by ces-score,1.0,'10.1016/j.enpol.2019.110935',data preparation by aggregation though national quinitiles,1.0,'10.1016/j.ref.2022.02.002',expanse (exploration of patterns in near-optimal energy scenarios),1.0,'10.1016/j.apenergy.2019.113724',simple linear regression,1.0,'10.1016/j.enpol.2019.110935', spatial mapping,2.0,"'10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724'"
1,agent-based model (abm) to identify conflicts,1.0,'10.1016/j.enpol.2021.112265',policy as constraints,1.0,'10.1016/j.apenergy.2019.113724', forth- and fith-quintile proportion,1.0,'10.1016/j.ref.2022.02.002', modeling to generate alternatives (mga) method,1.0,'10.1016/j.apenergy.2019.113724', ordinary least squares (ols) multiple regression model,1.0,'10.1016/j.enpol.2019.110935',correlation matrix,1.0,'10.1016/j.enpol.2019.110935'
2, expert interviews,1.0,'10.1016/j.enpol.2021.112265',before-and-after assessment,1.0,'10.1016/j.ecolecon.2022.107456', weighted sum,1.0,'10.1016/j.ref.2022.02.002', slack compared to least-cost,1.0,'10.1016/j.apenergy.2019.113724', normalization of overall pollution scores to determine locally specific exposure tiers,1.0,'10.1016/j.enpol.2019.110935', bivariate log-linear scatter plots,1.0,'10.1016/j.enpol.2019.110935'
3,,,, reverse deduction method,1.0,'10.1016/j.ecolecon.2022.107456',spatial resolution,1.0,'10.1016/j.apenergy.2019.113724', pareto frontier,1.0,'10.1016/j.apenergy.2019.113724',exploratory correlational analyses,1.0,'10.1016/j.ref.2022.02.002',spatial vizualization,1.0,'10.1016/j.scs.2021.103647'
4,,,,state fixed effect approach,1.0,'10.3390/ijerph18020620', spatial constraints,1.0,'10.1016/j.apenergy.2019.113724', near-optimal scenarios,1.0,'10.1016/j.apenergy.2019.113724',scenarios equality and equity price modifications ,1.0,'10.1016/j.apenergy.2020.114749',plot of near-optimal scenarios and decision variables,1.0,'10.1016/j.apenergy.2019.113724'
5,,,,scenario discovery experiment (pynetlogo),1.0,'10.1016/j.enpol.2021.112265',range standardization method,1.0,'10.1016/j.ecolecon.2022.107456', policies as constraints,1.0,'10.1016/j.apenergy.2019.113724',regressional analyis,1.0,'10.1016/j.scs.2021.103647',spatial mapping of regression coefficients,1.0,'10.1186/s13705-017-0111-6'
6,,,, brainstorming possible scenarios leading to value change,1.0,'10.1016/j.enpol.2021.112265',difference-in-differences (did) model,1.0,'10.1016/j.enpol.2021.112205', spatial constraints (maximal regional equity by population vs. demand),1.0,'10.1016/j.apenergy.2019.113724',gini index,1.0,'10.1016/j.apenergy.2019.113724',before-and-after assessment,1.0,'10.1016/j.ecolecon.2022.107456'
7,,,,,,,,,,direct cost calculation,1.0,'10.1016/j.enpol.2021.112205', lorenz curve,1.0,'10.1016/j.apenergy.2019.113724', change in distributive justice,1.0,'10.1016/j.ecolecon.2022.107456'
8,,,,,,,,,, health and economic effects estimation (with exposure-response functions),1.0,'10.1016/j.enpol.2021.112205', trade-off curve,1.0,'10.1016/j.apenergy.2019.113724', change in energy vulnerability,1.0,'10.1016/j.ecolecon.2022.107456'
9,,,,,,,,,, net cost-benefit estimation,1.0,'10.1016/j.enpol.2021.112205',spatial-statistical analysis,1.0,'10.1186/s13705-017-0111-6',,,
10,,,,,,,,,,arcgis (two-mile radius),1.0,'10.1080/13549839.2021.1916899', least squares regression model,1.0,'10.1186/s13705-017-0111-6',,,
11,,,,,,,,,,,,, ols regresseion model,1.0,'10.1186/s13705-017-0111-6',,,
12,,,,,,,,,,,,, geographically weighted regression (gwr) model,1.0,'10.1186/s13705-017-0111-6',,,
13,,,,,,,,,,,,,assessment of distributive justice,1.0,'10.1016/j.ecolecon.2022.107456',,,
14,,,,,,,,,,,,, descriptive statistical analysis,1.0,'10.1016/j.ecolecon.2022.107456',,,
15,,,,,,,,,,,,,spatial error regression model,1.0,'10.3390/ijerph18020620',,,
16,,,,,,,,,,,,, ols model,1.0,'10.3390/ijerph18020620',,,
17,,,,,,,,,,,,,social life cycle assessment (slca),1.0,'10.1007/s10098-022-02278-1',,,
18,,,,,,,,,,,,,uncertainty analysis,1.0,'10.1016/j.enpol.2021.112205',,,
19,,,,,,,,,,,,,"""odd + d (overview",1.0,'10.1016/j.enpol.2021.112265',,,
20,,,,,,,,,,,,," design concepts and details + decision) model""",1.0,'10.1016/j.enpol.2021.112265',,,
21,,,,,,,,,,,,,normalisation method,1.0,'10.1080/13549839.2021.1916899',,,
22,,,,,,,,,,,,, ordinary least squares (ols) regression,1.0,'10.1080/13549839.2021.1916899',,,
23,,,,,,,,,,,,, descriptive statistics and bivariate correlations,1.0,'10.1080/13549839.2021.1916899',,,
24,,,,,,,,,,,,, geographic maps,1.0,'10.1080/13549839.2021.1916899',,,
25,,,,,,,,,,,,, regression analyses,1.0,'10.1080/13549839.2021.1916899',,,
26,,,,,,,,,,,,, spatial autororrelation,1.0,'10.1080/13549839.2021.1916899',,,
27,,,,,,,,,,,,,,,,,,
