,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,heating and cooling,10.1016/j.enpol.2021.112444,,,,,,
1,buildings,10.1016/j.enpol.2021.112444,,,,,,
2,electricity,10.1016/j.erss.2018.05.026,,,,,,
3,electricity,10.1016/j.rser.2020.110610,,,,,,
4,electricity,10.1016/j.erss.2017.09.035,,,,,,
5,heating and cooling,10.1016/j.erss.2017.09.035,,,,,,
6,buildings,10.1016/j.erss.2017.09.035,,,,,,
7,electricity,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
8,electricity,10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
9,electricity,10.1016/j.erss.2021.102075,,,,,,
10,planetary resources,10.1016/j.erss.2021.102075,,,,,,
11,electricity,10.1016/j.apenergy.2020.114749,,,,,,
12,heating and cooling,10.1016/j.scs.2021.103647,Energy burden,,,,,
13,buildings,10.1016/j.scs.2021.103647,Energy burden,,,,,
14,electricity,10.1016/j.jclepro.2019.119626,,,,,,
15,heating and cooling,10.1016/j.jclepro.2019.119626,,,,,,
16,co2 emissions,10.1016/j.jclepro.2019.119626,,,,,,
17,mobility and transport,10.1016/j.jclepro.2019.119626,,,,,,
18,planetary resources,10.1016/j.jclepro.2019.119626,,,,,,
19,buildings,10.1016/j.jclepro.2019.119626,,,,,,
20,industry,10.1016/j.jclepro.2019.119626,,,,,,
21,electricity,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
22,co2 emissions,10.1007/s10584-017-2094-x,,,,,,
