,parameter,count,doi,"Dustributional impacts, vertical inequalities",Energy justice,Just Transition,,Spatial Justice,Fuel poverty,Justice in terms of worldviews of energy developers and Indigenous people,(Skip question: Not applicable),Environmental justice,"""Justice"" in general (eg. not placed in theoretical context)",Environmental Justice and Energy Justice,social justice
0,usa,5,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1016/j.landusepol.2017.10.021', '10.1016/j.scs.2021.103647', '10.3390/ijerph18020620'",0,1,0,0,1,0,0,0,1,0,1,0
1,mexico,2,"'10.1016/j.worlddev.2021.105725', '10.1007/s10098-022-02278-1'",0,0,0,0,0,0,1,0,0,0,0,0
2,india,2,"'10.1016/j.apenergy.2021.118235', '10.1016/j.enpol.2021.112158'",0,0,1,0,0,0,0,0,0,0,0,0
3,great britain,1,'10.1016/j.enbuild.2018.07.010',0,1,0,0,0,1,0,0,0,0,0,0
4, london,1,'10.1016/j.enbuild.2018.07.010',0,0,0,0,0,1,0,0,0,0,0,0
5, london borough of newham (lbn),1,'10.1016/j.enbuild.2018.07.010',0,0,0,0,0,1,0,0,0,0,0,0
6,porta bela (manacapuru) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,0,0,0,0,0,0,0,0,0,0,1
7, jacuru (iranduba) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,0,0,0,0,0,0,0,0,0,0,1
8,ireland,1,'10.1016/j.enpol.2021.112444',1,0,0,0,0,0,0,0,0,0,0,0
9,germany,1,'10.1016/j.erss.2018.05.026',0,1,0,0,0,0,0,0,0,1,0,0
10,japan,1,'10.1016/j.rser.2020.110610',0,0,1,0,0,0,0,0,0,0,0,0
11,colorado,1,'10.1016/j.erss.2018.08.005',0,0,0,0,0,0,0,1,0,0,0,0
12, isthmus of tehuantepec,1,'10.1016/j.worlddev.2021.105725',0,0,0,0,0,0,1,0,0,0,0,0
13,england ,1,'10.1016/j.erss.2017.09.035',0,0,0,0,0,0,0,0,0,1,0,0
14,port talbot,1,'10.1016/j.erss.2021.102455',0,1,0,0,0,0,0,0,0,0,0,0
15, south wales,1,'10.1016/j.erss.2021.102455',0,1,0,0,0,0,0,0,0,0,0,0
16, united kingdom,1,'10.1016/j.erss.2021.102455',0,1,0,0,0,0,0,0,0,0,0,0
17,norway,1,'10.1007/s10584-019-02521-7',0,1,0,0,0,0,0,0,0,0,0,0
18, germany,1,'10.1007/s10584-019-02521-7',0,1,0,0,0,0,0,0,0,0,0,0
19, great britain,1,'10.1007/s10584-019-02521-7',0,1,0,0,0,0,0,0,0,0,0,0
20, france ,1,'10.1007/s10584-019-02521-7',0,1,0,0,0,0,0,0,0,0,0,0
21, california,1,'10.1016/j.enpol.2019.110935',0,0,0,0,0,0,0,0,1,0,0,0
22, costilla county,1,'10.1016/j.ref.2022.02.002',0,1,0,0,0,0,0,0,0,0,0,0
23,estonia,1,'10.1016/j.polgeo.2021.102544',0,1,0,0,0,0,0,0,0,0,0,0
24,sub saharan africa,1,'10.1016/j.erss.2021.102075',0,1,0,0,0,0,0,0,0,0,0,0
25,tanzania,1,'10.1016/j.apenergy.2020.114749',0,1,0,0,0,0,0,0,0,0,0,0
26, chicago,1,'10.1016/j.scs.2021.103647',0,0,0,0,0,0,0,0,0,0,1,0
27,bangladesh,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,0,0
28, netherlands,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,0,0
29, malawi,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,0,0
30, south africa,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,0,0
31, mexico,1,'10.1016/j.gloenvcha.2019.101985',0,0,0,0,0,0,0,0,0,0,0,0
32,china,1,'10.1016/j.jclepro.2019.119626',0,1,0,0,0,0,0,0,0,0,0,0
33,switzerland,1,'10.1016/j.apenergy.2019.113724',0,1,0,0,0,0,0,0,0,0,0,0
34, swiss municipalities,1,'10.1016/j.apenergy.2019.113724',0,1,0,0,0,0,0,0,0,0,0,0
35,puerto rico,1,'10.1016/j.envsci.2021.04.004',0,0,0,0,0,0,0,0,1,0,0,0
36,nepal,1,'10.1186/s13705-017-0111-6',0,1,0,0,0,0,0,0,0,0,0,0
37,  village development committee (vdc),1,'10.1186/s13705-017-0111-6',0,1,0,0,0,0,0,0,0,0,0,0
38, kapilvastu district,1,'10.1186/s13705-017-0111-6',0,1,0,0,0,0,0,0,0,0,0,0
39, kaski district,1,'10.1186/s13705-017-0111-6',0,1,0,0,0,0,0,0,0,0,0,0
40, saptari district,1,'10.1186/s13705-017-0111-6',0,1,0,0,0,0,0,0,0,0,0,0
41,gaocheng district,1,'10.1016/j.ecolecon.2022.107456',0,1,0,0,0,0,0,0,0,0,0,0
42, hebei province,1,'10.1016/j.ecolecon.2022.107456',0,1,0,0,0,0,0,0,0,0,0,0
43, china,1,'10.1016/j.ecolecon.2022.107456',0,1,0,0,0,0,0,0,0,0,0,0
44,liberia,1,'10.1109/GHTC46095.2019.9033126',0,1,0,0,0,0,0,0,0,0,0,0
45, santiago papasquiaro,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
46, guatemala,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
47, nicagagua,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
48, panama,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
49, colombia,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
50, costa rica,1,'10.1007/s10098-022-02278-1',0,0,0,0,0,0,0,0,0,0,0,0
51,concepcion (central-south of chile),1,'10.1177/1420326X17713071',0,0,0,0,0,0,0,0,0,0,0,1
52,spain,1,'10.3390/su12155904',0,0,0,0,0,0,0,0,0,1,0,0
53,cities in beijing-tianjin-hebei (china),1,'10.1016/j.enpol.2021.112205',0,0,0,0,0,0,0,0,0,0,0,0
54,hague (netherlands),1,'10.1016/j.enpol.2021.112265',0,0,0,0,0,0,0,0,0,0,0,0
55,phoenix,1,'10.1080/13549839.2021.1916899',0,0,0,0,0,0,0,0,1,0,0,0
56, arizona (u.s.a),1,'10.1080/13549839.2021.1916899',0,0,0,0,0,0,0,0,1,0,0,0
