,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,households/prosumers,10.1016/j.enpol.2021.112444,,,,,,
1,country-level (including comparisons),10.1016/j.erss.2018.05.026,,,,,,
2,"north, east, south, west part of germany",10.1016/j.erss.2018.05.026,,,,,,
3,country-level (including comparisons),10.1016/j.rser.2020.110610,,,,,,
4,country-level (including comparisons),10.1016/j.erss.2017.09.035,,,,,,
5,state/region,10.1016/j.erss.2017.09.035,,,,,,
6,city/municipality,10.1016/j.erss.2017.09.035,,,,,,
7,state/region,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
8,city/municipality,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
9,community,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
10,city/municipality,10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
11,global,10.1016/j.erss.2021.102075,,,,,,
12,state/region,10.1016/j.erss.2021.102075,,,,,,
13,country-level (including comparisons),10.1016/j.apenergy.2020.114749,,,,,,
14,state/region,10.1016/j.apenergy.2020.114749,,,,,,
15,city/municipality,10.1016/j.scs.2021.103647,Energy burden,,,,,
16,community,10.1016/j.scs.2021.103647,Energy burden,,,,,
17,country-level (including comparisons),10.1016/j.jclepro.2019.119626,,,,,,
18,country-level (including comparisons),10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
19,state/region,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
20,city/municipality,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
21,global,10.1007/s10584-017-2094-x,,,,,,
22,country-level (including comparisons),10.1007/s10584-017-2094-x,,,,,,
23,state/region,10.1007/s10584-017-2094-x,,,,,,
24,country-level (including comparisons),10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
25,state/region,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
26,country-level (including comparisons),10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
27,state/region,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
28,community,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
29,households/prosumers,10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
