,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,present (eg. status quo assessment),10.1016/j.enpol.2021.112444,,,,,,
1,near future (up to 10 years or duration of a single project),10.1016/j.enpol.2021.112444,,,,,,
2,present (eg. status quo assessment),10.1016/j.erss.2018.05.026,,,,,,
3,present (eg. status quo assessment),10.1016/j.rser.2020.110610,,,,,,
4,far future (more then 10 years),10.1016/j.rser.2020.110610,,,,,,
5,present (eg. status quo assessment),10.1016/j.erss.2017.09.035,,,,,,
6,past,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
7,present (eg. status quo assessment),10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
8,present (eg. status quo assessment),10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
9,present (eg. status quo assessment),10.1016/j.erss.2021.102075,,,,,,
10,near future (up to 10 years or duration of a single project),10.1016/j.erss.2021.102075,,,,,,
11,far future (more then 10 years),10.1016/j.erss.2021.102075,,,,,,
12,present (eg. status quo assessment),10.1016/j.apenergy.2020.114749,,,,,,
13,present (eg. status quo assessment),10.1016/j.scs.2021.103647,Energy burden,,,,,
14,present (eg. status quo assessment),10.1016/j.jclepro.2019.119626,,,,,,
15,near future (up to 10 years or duration of a single project),10.1016/j.jclepro.2019.119626,,,,,,
16,far future (more then 10 years),10.1016/j.jclepro.2019.119626,,,,,,
17,near future (up to 10 years or duration of a single project),10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
18,far future (more then 10 years),10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
19,present (eg. status quo assessment),10.1007/s10584-017-2094-x,,,,,,
20,past,10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
21,present (eg. status quo assessment),10.1016/j.envsci.2021.04.004,"electricity recovery data, risk of environmental injustice based on demographic and environmental indicators",,risk of environmental injustice based on demographic and environmental indicators,,,
22,present (eg. status quo assessment),10.1186/s13705-017-0111-6,"Regression coefficients (biogas adoption vs. marginalized, female population and no electrical facility)",,Regression coefficients (biogas adoption in minoritized populations),,,
23,past,10.1016/j.apenergy.2021.118235,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless, Other persons affected",,,"land acquisation (around the project site), Persons whose agricultural land has been acquired, Persons who have become landless and houseless",,
24,past,10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
25,present (eg. status quo assessment),10.1016/j.ecolecon.2022.107456,"exposure to risks, sensitivity to changes, amount of subsidy per household, loss of distributive justice, monetary resource waste",,energy vulnerability,,,
26,present (eg. status quo assessment),10.3390/ijerph18020620,"Regression coefficient between energy burden and premature mortality, Regression coefficient between energy burden and self-reported health, Regression coefficient between energy burden and life expectancy",,,,,
27,near future (up to 10 years or duration of a single project),10.1016/j.enpol.2021.112158,"distributional employment impacts, land acquisation and compensation, spatial distribution of job loss and gains ",,,"distributional employment impacts, land acquisation and compensation",,
28,present (eg. status quo assessment),10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
29,near future (up to 10 years or duration of a single project),10.1016/j.erss.2020.101451,"Emotions (A measure of the difference between the level of resources), Trust (A measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours), ""Senses and Imagination and Thought (A measure of both the size of the production group to which the agent belongs (the smaller, the more there is to learn) and the diversity of that production group)""","""Control over one’s Environment (A measure of the size of the production group to which the agent belongs; the smaller the group, the higher the level of Control)""","correlations between different capabilities to reveal possible conflicts, ""Affiliation (A measure of the extent to which the level of capabilities of agents matches the level of capabilities of their neighbours. The more similar the level of capabilities, the higher the level of Affiliation (even if the level of capabilities is low))""",,,
30,present (eg. status quo assessment),10.1109/GHTC46095.2019.9033126,livelihood and cultural heritage protection,"local-participation, job factor, economic inflow factors",livelihood and cultural heritage protection,,,
31,near future (up to 10 years or duration of a single project),10.1007/s10098-022-02278-1,Community infrastructure,"Labour rights, Human rights, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",,,"Labour rights, Human rights, Health and Safety, Community infrastructure, Governance, Medium-risk hour (mrh) in terms of labour-hours for a given production rate, social impact theme score, social impact savings",
32,present (eg. status quo assessment),10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
33,near future (up to 10 years or duration of a single project),10.1177/1420326X17713071,"fuel poverty, fuel poverty potential risk index",,,,,
34,present (eg. status quo assessment),10.1016/j.enpol.2021.112205,"energy poverty, heating poverty,  health economic benefits",,,,,
35,present (eg. status quo assessment),10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
36,near future (up to 10 years or duration of a single project),10.1016/j.enpol.2021.112265,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,"thermal comfort, affordability, environmental sustainability, autonomy, inclusiveness",,,
37,present (eg. status quo assessment),10.1080/13549839.2021.1916899,"neighbourhood asset score (NAS), neighbourhood deficit score",,"neighbourhood asset score (NAS), neighbourhood deficit score",,,
