,parameter,doi,Distributional-Justice,Procedual-Justice,Recognition-Justice,Restorative-Justice,Cosmopolitan-Justice,Intergenerational-Justice
0,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.enpol.2021.112444,,,,,,
1,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1016/j.erss.2018.05.026,,,,,,
2,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.erss.2018.05.026,,,,,,
3,"energy system planning: estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways)",10.1016/j.rser.2020.110610,,,,,,
4,spatiality: geospatial perspective,10.1016/j.erss.2017.09.035,,,,,,
5,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
6,"policy: discussion of necessary policy design to reach an aim, or assessment of policy impacts",10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
7,spatiality: geospatial perspective,10.1016/j.enpol.2019.110935,"installed PV capacity per capita, CalEnviroScreen (CES) score, Environmental Justice (EJ) Score, Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure), precentage of census tracts with certain CES score (sensitivity plus exposure), annual rate of solar adoption, gap of rate of solar adotion between high- and low-adopters, regression coefficients",,Disadvantaged Communities with 5% of highest pollution/exposure or 25% highest CES score (sensitivity plus exposure),,,
8,"project planning: infrastructure and capacity implementation, potentially step-wise (likely near future)",10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
9,spatiality: geospatial perspective,10.1016/j.ref.2022.02.002,"Correlation indicators between EJIndicators and RES potential, population quintiles affected",,,,,
10,"sufficiency: reduction of resource demand, eg. though social innovation (not technical/efficiency measures)",10.1016/j.erss.2021.102075,,,,,,
11,spatiality: geospatial perspective,10.1016/j.apenergy.2020.114749,,,,,,
12,spatiality: geospatial perspective,10.1016/j.scs.2021.103647,Energy burden,,,,,
13,"energy system planning: estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways)",10.1016/j.jclepro.2019.119626,,,,,,
14,"technology-specific: discussion of impacts of specific generation/storage/management assets, eg. nuclear or wind",10.1016/j.jclepro.2019.119626,,,,,,
15,"energy system planning: estimation of a generation/storage capacity mix and transmission grid planning (likely far future, pathways)",10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
16,spatiality: geospatial perspective,10.1016/j.apenergy.2019.113724,"Electricity generation per capita, Electricity generation per demand, investment share, regional spillover, Regional equity, spatial distribution of electricity generation per demand, gini index",,,,,
