,word,count,DOI
0,home ownership,3,"'10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2019.110935',
 '10.1007/s10584-019-02521-7'"
1,wealth,2,"'10.1016/j.erss.2018.08.005', '10.3390/ijerph18020620'"
2,race,2,"'10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620'"
3,moderate,1,'10.1016/j.enbuild.2018.07.010'
4,high),1,'10.1016/j.enbuild.2018.07.010'
5,indoor issues (damp,1,'10.1016/j.enbuild.2018.07.010'
6,mold,1,'10.1016/j.enbuild.2018.07.010'
7,condensation),1,'10.1016/j.enbuild.2018.07.010'
8,passive systems,1,'10.1016/j.enpol.2020.111256'
9,building materials,1,'10.1016/j.enpol.2020.111256'
10,ability to find strategies for heating/cooling,1,'10.1016/j.enpol.2020.111256'
11,psychological factors,1,'10.1016/j.enpol.2020.111256'
12,number of women in biodigester committee,1,'10.1186/s13705-017-0111-6'
13,distribution of installation efforts (cost,1,'10.1186/s13705-017-0111-6'
14,time),1,'10.1186/s13705-017-0111-6'
15,distribution of maintenance work,1,'10.1186/s13705-017-0111-6'
16,distribution of operational work,1,'10.1186/s13705-017-0111-6'
17,perceived fairness regarding distribution of operational work,1,'10.1186/s13705-017-0111-6'
18,provided training,1,'10.1186/s13705-017-0111-6'
19,exploitable solar pv potential,1,'10.1016/j.apenergy.2019.113724'
20,economic resources,1,'10.1016/j.apenergy.2019.113724'
21,economic growth,1,'10.1016/j.apenergy.2019.113724'
22,greenhouse gas reductions,1,'10.1016/j.apenergy.2019.113724'
23,health impacts,1,'10.1016/j.apenergy.2019.113724'
24, slack to least-cost solution,1,'10.1016/j.apenergy.2019.113724'
25,power,1,'10.1016/j.erss.2018.08.005'
26,equity,1,'10.1016/j.erss.2018.08.005'
27,fairness,1,'10.1016/j.erss.2018.08.005'
28,justice,1,'10.1016/j.erss.2018.08.005'
29,privilege and (identify-based) oppression,1,'10.1016/j.erss.2018.08.005'
30,discrimination (intersectional view),1,'10.1016/j.erss.2018.08.005'
31,intersection of ethnicity,1,'10.1016/j.erss.2018.08.005'
32,language,1,'10.1016/j.erss.2018.08.005'
33,transportation and work flexibility,1,'10.1016/j.erss.2018.08.005'
34,documentation status,1,'10.1016/j.erss.2018.08.005'
35,direct or indirect dependence on a company,1,'10.1016/j.erss.2018.08.005'
36,industry etc.,1,'10.1016/j.erss.2018.08.005'
37,class,1,'10.1016/j.erss.2018.08.005'
38,sexuality,1,'10.1016/j.erss.2018.08.005'
39,ability,1,'10.1016/j.erss.2018.08.005'
40,north-south dependence and excercise of elite power (hegecomic narratives),1,'10.1016/j.gloenvcha.2019.101985'
41,experimentation of elites,1,'10.1016/j.gloenvcha.2019.101985'
42,financialistion (eg use of financia instruments,1,'10.1016/j.gloenvcha.2019.101985'
43,innovations,1,'10.1016/j.gloenvcha.2019.101985'
44,logics) used by elites,1,'10.1016/j.gloenvcha.2019.101985'
45,dispossesion done by (market) elites,1,'10.1016/j.gloenvcha.2019.101985'
46,"""developers’ non-recognition of the value of reciprocity among the local population translates into practices that make people feel disrespected and not recognized as equals",1,'https://doi.org/10.1016/j.worlddev.2021.105725'
47,"social discrimination""",1,'https://doi.org/10.1016/j.worlddev.2021.105725'
48,pluriversal technologies: participatory design (co-designing,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
49,co-production,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
50,co-ownership),1,'https://doi.org/10.1016/j.worlddev.2021.105725'
51,hostrical processes of accumuluation by dispossession and colonisalism,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
52,cultural domination,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
53,non-recogition of indigenous identities and disrespect for local customs lead to many conflicts and misunderstandings (incl. non-acceptance) around wind energy projects,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
54,hydropower: experience of hydropower projects negative for local population groups,1,'10.1016/j.apenergy.2021.118235'
55,particularly the displaced,1,'10.1016/j.apenergy.2021.118235'
56,it ouroots residents,1,'10.1016/j.apenergy.2021.118235'
57,destroys livelihoods,1,'10.1016/j.apenergy.2021.118235'
58,and fails to provide adequate economic opportunities to the displaced,1,'10.1016/j.apenergy.2021.118235'
59,people los agricultural,1,'10.1016/j.apenergy.2021.118235'
60,forest,1,'10.1016/j.apenergy.2021.118235'
61,and fisihing resources,1,'10.1016/j.apenergy.2021.118235'
62,people are at risk o flooding as areas can be washed away when the dam is fully released,1,'10.1016/j.apenergy.2021.118235'
63,cultural losses to the displaced people who are also cut off from their social netwrks and a variety of capitals,1,'10.1016/j.apenergy.2021.118235'
64,median us energy burden,1,'10.1016/j.enpol.2019.110935'
65,median low-income household's energy burden,1,'10.1016/j.enpol.2019.110935'
