,word,count,DOI
0,energy affordability,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2021.102075'"
1, fuel poverty,1,'10.1016/j.enbuild.2018.07.010'
2,death due to energy thefts,1,'10.1016/j.enpol.2020.111256'
3,thermal comfort,1,'10.1016/j.enpol.2020.111256'
4,regional equity by population,1,'10.1016/j.apenergy.2019.113724'
5,job creation,1,'10.1016/j.apenergy.2019.113724'
6,environmental externalities,1,'10.1016/j.apenergy.2019.113724'
7,ratio of working age population,1,'10.1016/j.rser.2020.110610'
8,access to and influence over decision-making processes (meaningful participation,1,'10.1016/j.erss.2018.08.005'
9,procedural justice),1,'10.1016/j.erss.2018.08.005'
10,distribution of risks and benefits,1,'10.1016/j.erss.2018.08.005'
11,wealth,1,'10.1016/j.erss.2018.08.005'
12,time and money to influence processes,1,'10.1016/j.erss.2018.08.005'
13,cultural and socioeconomic consepuences (of elite power processes),1,'10.1016/j.gloenvcha.2019.101985'
14,who owns land,1,'10.1016/j.gloenvcha.2019.101985'
15,businesses,1,'10.1016/j.gloenvcha.2019.101985'
16,banks,1,'10.1016/j.gloenvcha.2019.101985'
17,who gets what jobs,1,'10.1016/j.gloenvcha.2019.101985'
18,market failure,1,'10.1016/j.gloenvcha.2019.101985'
19,improved health,1,'10.1016/j.gloenvcha.2019.101985'
20,conduits of capital,1,'10.1016/j.gloenvcha.2019.101985'
21,information monopoly (to exlucde marginalize opponents and,1,'10.1016/j.gloenvcha.2019.101985'
22,ultimately collapsemutliple ecosystems),1,'10.1016/j.gloenvcha.2019.101985'
23,financial flows,1,'10.1016/j.gloenvcha.2019.101985'
24,employ formula,1,'10.1016/j.enpol.2021.112205'
25,health (air pollution),1,'10.1016/j.enpol.2021.112205'
26,health economic benefits,1,'10.1016/j.enpol.2021.112205'
27,indoor temperature,1,'10.1016/j.enpol.2021.112205'
28,employment for only a small portion of the population,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
29,new tenancy payments that only benefits certain farmers and one-way community benefits enjoyed by local governments have established hierarchies of power that break with reciprocal relationships in these communities,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
30,decline of indigenous traditions,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
31,attitudes towards wind farms as a result of how people (indigenous communties) and the jegemonic worldviews of energy developers are exercised,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
32,creation of jobs,1,'10.1007/s10584-019-02521-7'
33,inter-generational shift of costs,1,'10.1007/s10584-019-02521-7'
34,job loss,1,'10.1007/s10584-019-02521-7'
35,concentration of jobs,1,'10.1007/s10584-019-02521-7'
36,impacts on property prices,1,'10.1007/s10584-019-02521-7'
37,need to relocate at job-loss,1,'10.1007/s10584-019-02521-7'
38,burden on households due to industry discounts,1,'10.1007/s10584-019-02521-7'
39,distribution of environmental harms in the supply line,1,'10.1007/s10584-019-02521-7'
40,distribution of the end-of-life burden of technologies,1,'10.1007/s10584-019-02521-7'
41,mental health impacts of fuel poverty,1,'10.1007/s10584-019-02521-7'
42,distribution of economic burdens,1,'10.1007/s10584-019-02521-7'
43,stranded assets,1,'10.1007/s10584-019-02521-7'
44,sharing of revenue,1,'10.1007/s10584-019-02521-7'
45,distribution of subsidies,1,'10.1007/s10584-019-02521-7'
46,health impacts,1,'10.1007/s10584-019-02521-7'
47,senstivitiy,1,'10.1016/j.ecolecon.2022.107456'
48, energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
49,energy welfare,1,'10.1002/ente.202000668'
50,well-being,1,'10.1002/ente.202000668'
51,cost distribution,1,'10.1002/ente.202000668'
52,exposure to environmental risks/hazards ,1,'10.1002/ente.202000668'
53,social vulnerability,1,'10.1016/j.erss.2017.09.035'
54,spatial distribution of energy vulnerability,1,'10.3390/ijerph18020620'
55,correlation coefficients,1,'10.1016/j.ref.2022.02.002'
56,distributional employment impacts: wages,1,'10.1016/j.enpol.2021.112158'
57,economic inequality,1,'10.1016/j.enpol.2021.112158'
58,spatial distribution,1,'10.1016/j.enpol.2021.112158'
59,job gains and losses,1,'10.1016/j.enpol.2021.112158'
60,land loss/acquisation,1,'10.1016/j.enpol.2021.112158'
61,lost of livelihoods without compensation in the process of setting up new solar power plants,1,'10.1016/j.enpol.2021.112158'
62,energy availability,1,'10.1016/j.erss.2021.102075'
63,dependencies between global south and global north (technological,1,'10.1016/j.erss.2021.102075'
64,monetary,1,'10.1016/j.erss.2021.102075'
65,resource,1,'10.1016/j.erss.2021.102075'
66,and institutional),1,'10.1016/j.erss.2021.102075'
67,"community trust,",1,'10.1016/j.erss.2021.102075'
