,parameter,count,doi
0,energy burden,4,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.enpol.2021.112205',
 '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620'"
1,fuel poverty,3,"'10.1016/j.enpol.2020.111256', '10.1016/j.enpol.2021.112444',
 '10.1016/j.erss.2017.09.035'"
2,energy poverty,3,"'10.1016/j.apenergy.2019.113724', '10.1016/j.enpol.2021.112205',
 '10.1016/j.ecolecon.2022.107456'"
3,energy affordability,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2021.102075'"
4, fuel poverty,1,'10.1016/j.enbuild.2018.07.010'
5,death due to energy thefts,1,'10.1016/j.enpol.2020.111256'
6,thermal comfort,1,'10.1016/j.enpol.2020.111256'
7,regional equity by population,1,'10.1016/j.apenergy.2019.113724'
8,job creation,1,'10.1016/j.apenergy.2019.113724'
9,environmental externalities,1,'10.1016/j.apenergy.2019.113724'
10,electricity generation per capita,1,'10.1016/j.apenergy.2019.113724'
11,electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
12,electricity generation costs,1,'10.1016/j.apenergy.2019.113724'
13,investment share,1,'10.1016/j.apenergy.2019.113724'
14,electricity generation cost,1,'10.1016/j.apenergy.2019.113724'
15,regional spillover,1,'10.1016/j.apenergy.2019.113724'
16,regional equity,1,'10.1016/j.apenergy.2019.113724'
17,spatial distribution of electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
18,income poverty,1,'10.1016/j.enpol.2021.112444'
19,acceptance,1,'10.1016/j.erss.2018.05.026'
20,attitude towards renewable energy technologie,1,'10.1016/j.erss.2018.05.026'
21,trust in local stakeholders,1,'10.1016/j.erss.2018.05.026'
22,fairness,1,'10.1016/j.erss.2018.05.026'
23,trust in research/ non-governmental/ nonprofit organizations,1,'10.1016/j.erss.2018.05.026'
24,regional added value,1,'10.1016/j.erss.2018.05.026'
25,ratio of working age population,1,'10.1016/j.rser.2020.110610'
26,employment numbers,1,'10.1016/j.rser.2020.110610'
27,gini coefficient,1,'10.1016/j.rser.2020.110610'
28,access to and influence over decision-making processes (meaningful participation,1,'10.1016/j.erss.2018.08.005'
29,procedural justice),1,'10.1016/j.erss.2018.08.005'
30,distribution of risks and benefits,1,'10.1016/j.erss.2018.08.005'
31,wealth,1,'10.1016/j.erss.2018.08.005'
32,time and money to influence processes,1,'10.1016/j.erss.2018.08.005'
33,fp,1,'10.1177/1420326X17713071'
34,fpi,1,'10.1177/1420326X17713071'
35,fppri,1,'10.1177/1420326X17713071'
36,cultural and socioeconomic consepuences (of elite power processes),1,'10.1016/j.gloenvcha.2019.101985'
37,who owns land,1,'10.1016/j.gloenvcha.2019.101985'
38,businesses,1,'10.1016/j.gloenvcha.2019.101985'
39,banks,1,'10.1016/j.gloenvcha.2019.101985'
40,who gets what jobs,1,'10.1016/j.gloenvcha.2019.101985'
41,market failure,1,'10.1016/j.gloenvcha.2019.101985'
42,improved health,1,'10.1016/j.gloenvcha.2019.101985'
43,conduits of capital,1,'10.1016/j.gloenvcha.2019.101985'
44,information monopoly (to exlucde marginalize opponents and,1,'10.1016/j.gloenvcha.2019.101985'
45,ultimately collapsemutliple ecosystems),1,'10.1016/j.gloenvcha.2019.101985'
46,financial flows,1,'10.1016/j.gloenvcha.2019.101985'
47,heating poverty,1,'10.1016/j.enpol.2021.112205'
48,employ formula,1,'10.1016/j.enpol.2021.112205'
49,health (air pollution),1,'10.1016/j.enpol.2021.112205'
50,health economic benefits,1,'10.1016/j.enpol.2021.112205'
51,indoor temperature,1,'10.1016/j.enpol.2021.112205'
52,carbon price,1,'10.1007/s10584-017-2094-x'
53,inequality aversion,1,'10.1007/s10584-017-2094-x'
54,time preference,1,'10.1007/s10584-017-2094-x'
55,catastrophic damages,1,'10.1007/s10584-017-2094-x'
56,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
57,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
58,employment for only a small portion of the population,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
59,new tenancy payments that only benefits certain farmers and one-way community benefits enjoyed by local governments have established hierarchies of power that break with reciprocal relationships in these communities,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
60,decline of indigenous traditions,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
61,attitudes towards wind farms as a result of how people (indigenous communties) and the jegemonic worldviews of energy developers are exercised,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
62,land acquisation (around the project site): persons whose agricultural land has been acquired,1,'10.1016/j.apenergy.2021.118235'
63,persons who have become landless and houseless,1,'10.1016/j.apenergy.2021.118235'
64,other persons affected,1,'10.1016/j.apenergy.2021.118235'
65,labor change,1,'10.1016/j.jclepro.2019.119626'
66,labor mobility,1,'10.1016/j.jclepro.2019.119626'
67,urbanization rate,1,'10.1016/j.jclepro.2019.119626'
68,change in household income,1,'10.1016/j.jclepro.2019.119626'
69,income gap among urban residents,1,'10.1016/j.jclepro.2019.119626'
70,installed pv capacity per capita,1,'10.1016/j.enpol.2019.110935'
71,calenviroscreen (ces) score,1,'10.1016/j.enpol.2019.110935'
72,environmental justice (ej) score,1,'10.1016/j.enpol.2019.110935'
73,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure) precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
74,annual rate of solar adoption,1,'10.1016/j.enpol.2019.110935'
75,gap of rate of solar adotion between high- and low-adopters,1,'10.1016/j.enpol.2019.110935'
76,creation of jobs,1,'10.1007/s10584-019-02521-7'
77,inter-generational shift of costs,1,'10.1007/s10584-019-02521-7'
78,job loss,1,'10.1007/s10584-019-02521-7'
79,concentration of jobs,1,'10.1007/s10584-019-02521-7'
80,impacts on property prices,1,'10.1007/s10584-019-02521-7'
81,need to relocate at job-loss,1,'10.1007/s10584-019-02521-7'
82,burden on households due to industry discounts,1,'10.1007/s10584-019-02521-7'
83,distribution of environmental harms in the supply line,1,'10.1007/s10584-019-02521-7'
84,distribution of the end-of-life burden of technologies,1,'10.1007/s10584-019-02521-7'
85,mental health impacts of fuel poverty,1,'10.1007/s10584-019-02521-7'
86,distribution of economic burdens,1,'10.1007/s10584-019-02521-7'
87,stranded assets,1,'10.1007/s10584-019-02521-7'
88,sharing of revenue,1,'10.1007/s10584-019-02521-7'
89,distribution of subsidies,1,'10.1007/s10584-019-02521-7'
90,health impacts,1,'10.1007/s10584-019-02521-7'
91,exposure,1,'10.1016/j.ecolecon.2022.107456'
92,senstivitiy,1,'10.1016/j.ecolecon.2022.107456'
93,amount of subsidy per household,1,'10.1016/j.ecolecon.2022.107456'
94, energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
95,loss of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
96,monetary resource waste,1,'10.1016/j.ecolecon.2022.107456'
97,level of energy poverty,1,'10.1002/ente.202000668'
98,changes in consumption,1,'10.1002/ente.202000668'
99,changes in income level,1,'10.1002/ente.202000668'
100,tax incidence,1,'10.1002/ente.202000668'
101,energy welfare,1,'10.1002/ente.202000668'
102,well-being,1,'10.1002/ente.202000668'
103,cost distribution,1,'10.1002/ente.202000668'
104,price changes for goods,1,'10.1002/ente.202000668'
105,vulnerability,1,'10.1002/ente.202000668'
106,identification of vulnerable groups/regions,1,'10.1002/ente.202000668'
107,energy cost burden,1,'10.1002/ente.202000668'
108,investment needs,1,'10.1002/ente.202000668'
109,energy intensity,1,'10.1002/ente.202000668'
110,employment in carbon-intensive industries,1,'10.1002/ente.202000668'
111,per-household investment costs,1,'10.1002/ente.202000668'
112,economic powerty,1,'10.1002/ente.202000668'
113,social equity,1,'10.1002/ente.202000668'
114,income distribution,1,'10.1002/ente.202000668'
115,energy use,1,'10.1002/ente.202000668'
116,economic growth,1,'10.1002/ente.202000668'
117,emissions,1,'10.1002/ente.202000668'
118,cost for compensation,1,'10.1002/ente.202000668'
119,human health,1,'10.1002/ente.202000668'
120,exposure to environmental risks/hazards ,1,'10.1002/ente.202000668'
121,social vulnerability,1,'10.1016/j.erss.2017.09.035'
122,lihc (low income high cost),1,'10.1016/j.erss.2017.09.035'
123,10% indicator,1,'10.1016/j.erss.2017.09.035'
124,regression coefficients,1,'10.3390/ijerph18020620'
125,spatial distribution of energy vulnerability,1,'10.3390/ijerph18020620'
126,correlation coefficients,1,'10.1016/j.ref.2022.02.002'
127,distributional employment impacts: wages,1,'10.1016/j.enpol.2021.112158'
128,economic inequality,1,'10.1016/j.enpol.2021.112158'
129,spatial distribution,1,'10.1016/j.enpol.2021.112158'
130,job gains and losses,1,'10.1016/j.enpol.2021.112158'
131,land loss/acquisation,1,'10.1016/j.enpol.2021.112158'
132,lost of livelihoods without compensation in the process of setting up new solar power plants,1,'10.1016/j.enpol.2021.112158'
133,energy availability,1,'10.1016/j.erss.2021.102075'
134,dependencies between global south and global north (technological,1,'10.1016/j.erss.2021.102075'
135,monetary,1,'10.1016/j.erss.2021.102075'
136,resource,1,'10.1016/j.erss.2021.102075'
137,and institutional),1,'10.1016/j.erss.2021.102075'
138,"community trust,",1,'10.1016/j.erss.2021.102075'
