,word,count,DOI
0,simulation model,2,"'10.1016/j.enpol.2021.112205', '10.1016/j.erss.2021.102075'"
1,low-income energy affordability data (lead) tool,2,"'10.3390/ijerph18020620', '10.1016/j.ref.2022.02.002'"
2,dynamic simulation modelling using designbuilder (db) software,1,'10.1016/j.enbuild.2018.07.010'
3,spatial-statistical analysis,1,'10.1186/s13705-017-0111-6'
4,least squares regression model,1,'10.1186/s13705-017-0111-6'
5,ols regresseion models,1,'10.1186/s13705-017-0111-6'
6,geographically weighted regression (gwr) models,1,'10.1186/s13705-017-0111-6'
7,akaike information criterion (aic),1,'10.1186/s13705-017-0111-6'
8,k nearest neighbours,1,'10.1186/s13705-017-0111-6'
9,expanse (exploration of patterns in near-optimal energy scenarios); linear optimization; modeling to generate alternatives (mga) method; slack compared to least-cost; gini index; lorenz curve; trade-off curve; spatial representation; pareto frontier; near-optimal scenarios; policies as constraints,1,'10.1016/j.apenergy.2019.113724'
10,microsimulation model,1,'10.1016/j.enpol.2021.112444'
11,regression,1,'10.1016/j.enpol.2021.112444'
12,explorative factor analysis (efa),1,'10.1016/j.erss.2018.05.026'
13,interfactor-correlations,1,'10.1016/j.erss.2018.05.026'
14,cronbach's α,1,'10.1016/j.erss.2018.05.026'
15, structural equation modeling (sem) multigroup analysis,1,'10.1016/j.erss.2018.05.026'
16,gini coefficient,1,'10.1016/j.rser.2020.110610'
17,calculating employment numbers using employment factors,1,'10.1016/j.rser.2020.110610'
18,difference-in-differences (did) model,1,'10.1016/j.enpol.2021.112205'
19,direct cost calculation,1,'10.1016/j.enpol.2021.112205'
20,healt and economic effects estimation,1,'10.1016/j.enpol.2021.112205'
21,net cost-benefit estimation,1,'10.1016/j.enpol.2021.112205'
22,nested inequalities climate economy model (nice),1,'10.1007/s10584-017-2094-x'
23,integrated assessment model (iam),1,'10.1007/s10584-017-2094-x'
24,regional integrated model of climate and the economy (rice),1,'10.1007/s10584-017-2094-x'
25,social,1,'10.1016/j.apenergy.2021.118235'
26,economic,1,'10.1016/j.apenergy.2021.118235'
27,environmental and technical assessment (seeta) model that combines four fuzzy multi-criteria decision making techniques viz. fuzzy stepwise weighted assessment ratio analysis,1,'10.1016/j.apenergy.2021.118235'
28,fuzzy multi-objective optimization by ratio analysis,1,'10.1016/j.apenergy.2021.118235'
29,fuzzy weighted aggregated sum product assessment and fuzzy technique,1,'10.1016/j.apenergy.2021.118235'
30,dynamic computable general equilibrium (cge) model,1,'10.1016/j.jclepro.2019.119626'
31,calenviroscreen 3.0,1,'10.1016/j.enpol.2019.110935'
32,calenviroscreen score,1,'10.1016/j.enpol.2019.110935'
33,environmental justice score,1,'10.1016/j.enpol.2019.110935'
34,percent of households experiencing certain pollution level,1,'10.1016/j.enpol.2019.110935'
35,normalization of overall pollution scores to determine locally specific exposure tiers,1,'10.1016/j.enpol.2019.110935'
36,geospatial distribution,1,'10.1016/j.enpol.2019.110935'
37,gap of installation rate between high- and low adopters,1,'10.1016/j.enpol.2019.110935'
38,gap of cumulative capacity over time between high- and low adopters,1,'10.1016/j.enpol.2019.110935'
39,bivariage log-linear scatter plots,1,'10.1016/j.enpol.2019.110935'
40,simple linear regression,1,'10.1016/j.enpol.2019.110935'
41,ordinary least squares (ols) multiple regression model,1,'10.1016/j.enpol.2019.110935'
42,composite indicator of socio-economic indicators  as strongest predictor for solar adoption rate,1,'10.1016/j.enpol.2019.110935'
43,qualitative methods,1,'10.1016/j.erss.2021.102455'
44,biographical methods,1,'10.1016/j.erss.2021.102455'
45,narrative methods,1,'10.1016/j.erss.2021.102455'
46,ficitonal narratives,1,'10.1016/j.erss.2021.102455'
47,storytelling,1,'10.1016/j.erss.2021.102455'
48,games,1,'10.1016/j.erss.2021.102455'
49,roleplay,1,'10.1016/j.erss.2021.102455'
50,deliberative mapping techniques,1,'10.1016/j.erss.2021.102455'
51,public deliberation methods,1,'10.1016/j.erss.2021.102455'
52,quantitative temporal methods,1,'10.1016/j.erss.2021.102455'
53,day-in-your-life narrative,1,'10.1016/j.erss.2021.102455'
54,place-based persona development,1,'10.1016/j.erss.2021.102455'
55,calculation of energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
56,range standardization method,1,'10.1016/j.ecolecon.2022.107456'
57,performance indices,1,'10.1016/j.ecolecon.2022.107456'
58,before-and-after assessment,1,'10.1016/j.ecolecon.2022.107456'
59,descriptive statistical analysis,1,'10.1016/j.ecolecon.2022.107456'
60,reverse deduction method,1,'10.1016/j.ecolecon.2022.107456'
61,evaluation model of energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
62,assessment of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
63,energy system models,1,'10.1002/ente.202000668'
64,partial equilibrium models,1,'10.1002/ente.202000668'
65,input-output models (iom),1,'10.1002/ente.202000668'
66,macroeconomic models,1,'10.1002/ente.202000668'
67,general equilibrium models,1,'10.1002/ente.202000668'
68,environmental models,1,'10.1002/ente.202000668'
69,microsimulation,1,'10.1002/ente.202000668'
70,times-geeco,1,'10.1002/ente.202000668'
71,times actors model (tam)-household sector model,1,'10.1002/ente.202000668'
72,invest,1,'10.1002/ente.202000668'
73,times paneu model,1,'10.1002/ente.202000668'
74,direct modelling of income distribution,1,'10.1002/ente.202000668'
75,income distribution function,1,'10.1002/ente.202000668'
76,linking sector models,1,'10.1002/ente.202000668'
77,model disaggregation,1,'10.1002/ente.202000668'
78,equity evaluation,1,'10.1002/ente.202000668'
79,definition of representative household groups,1,'10.1002/ente.202000668'
80,impact pathway approach,1,'10.1002/ente.202000668'
81,spatial disaggregation,1,'10.1002/ente.202000668'
82,gains model,1,'10.1002/ente.202000668'
83,sherpa,1,'10.1002/ente.202000668'
84,didem,1,'10.1002/ente.202000668'
85,monte carlo simulation for capturing uncertainty,1,'10.1002/ente.202000668'
86,population projection,1,'10.1002/ente.202000668'
87,sequential or iterative linking of models,1,'10.1002/ente.202000668'
88,gtap-pov (gtap poverty framework),1,'10.1002/ente.202000668'
89,primes,1,'10.1002/ente.202000668'
90,prometheus,1,'10.1002/ente.202000668'
91,income-level surveys,1,'10.1002/ente.202000668'
92,time use surveys,1,'10.1002/ente.202000668'
93,probability function over the labor market choices of the population,1,'10.1002/ente.202000668'
94,household heterogeneity,1,'10.1002/ente.202000668'
95,social determinants of health (sdoh) framework,1,'10.3390/ijerph18020620'
96,state fixed effect approach,1,'10.3390/ijerph18020620'
97,global morans i coefficient,1,'10.3390/ijerph18020620'
98,spatial error regression model,1,'10.3390/ijerph18020620'
99,environmental justice screening and mapping (ejscreen) tool,1,'10.1016/j.ref.2022.02.002'
100,state and local planning for energy (slope) platform,1,'10.1016/j.ref.2022.02.002'
101,renewable energy integration and optimization (reopt) model,1,'10.1016/j.ref.2022.02.002'
102,national renewable energy laboratory’s jobs and economic development impact (jedi) models,1,'10.1016/j.ref.2022.02.002'
103,spreadsheet based analytical model to study the spatial distribution and magnitude of the labor impacts associated with clean energy transitions in the power sector in india,1,'10.1016/j.enpol.2021.112158'
104,system dynamics,1,'10.1016/j.erss.2021.102075'
105,causual loop diagrams (clds),1,'10.1016/j.erss.2021.102075'
106,goal seeking meachanism,1,'10.1016/j.erss.2021.102075'
