,word,count,DOI
0,energy justice,6,"'10.1186/s13705-017-0111-6', '10.1016/j.apenergy.2019.113724',
 'https://doi.org/10.1016/j.worlddev.2021.105725',
 '10.1016/j.enpol.2019.110935', '10.1016/j.ecolecon.2022.107456',
 '10.1016/j.erss.2021.102075'"
1,thermal comfort,3,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.enpol.2020.111256',
 '10.1177/1420326X17713071'"
2,social housing,2,"'10.1016/j.enbuild.2018.07.010', '10.1177/1420326X17713071'"
3,fuel poverty,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2017.09.035'"
4,distributional impacts,2,"'10.1016/j.apenergy.2019.113724', '10.1002/ente.202000668'"
5,microsimulation,2,"'10.1016/j.enpol.2021.112444', '10.1002/ente.202000668'"
6,sustainability,2,"'https://doi.org/10.1016/j.worlddev.2021.105725',
 '10.1016/j.apenergy.2021.118235'"
7,energy vulnerability,2,"'10.1016/j.erss.2021.102455', '10.1016/j.ecolecon.2022.107456'"
8,none,2,"'10.1007/s10584-019-02521-7', '10.1016/j.ref.2022.02.002'"
9,building performance,1,'10.1016/j.enbuild.2018.07.010'
10,retrofit,1,'10.1016/j.enbuild.2018.07.010'
11,energy efficiency,1,'10.1016/j.enbuild.2018.07.010'
12,energy use behaviour,1,'10.1016/j.enbuild.2018.07.010'
13,cooling energy,1,'10.1016/j.enpol.2020.111256'
14,tropical climate,1,'10.1016/j.enpol.2020.111256'
15,brazilian amazon,1,'10.1016/j.enpol.2020.111256'
16,unconventional energy,1,'10.1186/s13705-017-0111-6'
17,distributive justice,1,'10.1186/s13705-017-0111-6'
18,post-distributive justice,1,'10.1186/s13705-017-0111-6'
19,nepal,1,'10.1186/s13705-017-0111-6'
20,bioenergy,1,'10.1186/s13705-017-0111-6'
21,decentralized renewable electricity generation,1,'10.1016/j.apenergy.2019.113724'
22,spatial modeling,1,'10.1016/j.apenergy.2019.113724'
23,regional equity,1,'10.1016/j.apenergy.2019.113724'
24,solar pv,1,'10.1016/j.apenergy.2019.113724'
25,household energy demand,1,'10.1016/j.enpol.2021.112444'
26,energy taxes,1,'10.1016/j.enpol.2021.112444'
27,energy poverty,1,'10.1016/j.enpol.2021.112444'
28,acceptance,1,'10.1016/j.erss.2018.05.026'
29,fairness,1,'10.1016/j.erss.2018.05.026'
30,wind power,1,'10.1016/j.erss.2018.05.026'
31,regional energy transition,1,'10.1016/j.erss.2018.05.026'
32,just transition,1,'10.1016/j.rser.2020.110610'
33,decarbonisation,1,'10.1016/j.rser.2020.110610'
34,power sector,1,'10.1016/j.rser.2020.110610'
35,renewable energy,1,'10.1016/j.rser.2020.110610'
36,employment,1,'10.1016/j.rser.2020.110610'
37,transition management,1,'10.1016/j.rser.2020.110610'
38,gini coefficient,1,'10.1016/j.rser.2020.110610'
39,energy,1,'10.1016/j.erss.2018.08.005'
40,climate change,1,'10.1016/j.erss.2018.08.005'
41,procedural justice,1,'10.1016/j.erss.2018.08.005'
42,intersectionality,1,'10.1016/j.erss.2018.08.005'
43,policy ethnography,1,'10.1016/j.erss.2018.08.005'
44,energy policy,1,'10.1177/1420326X17713071'
45,pverty index,1,'10.1177/1420326X17713071'
46,adaptive comfort,1,'10.1177/1420326X17713071'
47,low-carbon transitions,1,'10.1016/j.gloenvcha.2019.101985'
48,elites,1,'10.1016/j.gloenvcha.2019.101985'
49,power,1,'10.1016/j.gloenvcha.2019.101985'
50,financialisation,1,'10.1016/j.gloenvcha.2019.101985'
51,dispossession,1,'10.1016/j.gloenvcha.2019.101985'
52,experimentation,1,'10.1016/j.gloenvcha.2019.101985'
53,clean heating,1,'10.1016/j.enpol.2021.112205'
54,cost-benefit analysis,1,'10.1016/j.enpol.2021.112205'
55,heating poverty,1,'10.1016/j.enpol.2021.112205'
56,air pollution,1,'10.1016/j.enpol.2021.112205'
57,health,1,'10.1016/j.enpol.2021.112205'
58,indigenous communities,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
59,sustainable development,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
60,ecological modernization,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
61,energy transition,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
62,mexico,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
63,hydropower,1,'10.1016/j.apenergy.2021.118235'
64,infrastructure development,1,'10.1016/j.apenergy.2021.118235'
65,mcdm,1,'10.1016/j.apenergy.2021.118235'
66,fuzzy methods,1,'10.1016/j.apenergy.2021.118235'
67,computable general equilibrium (cge),1,'10.1016/j.jclepro.2019.119626'
68,model,1,'10.1016/j.jclepro.2019.119626'
69,ndc targets,1,'10.1016/j.jclepro.2019.119626'
70,labor market,1,'10.1016/j.jclepro.2019.119626'
71,income gap,1,'10.1016/j.jclepro.2019.119626'
72,rooftop solar,1,'10.1016/j.enpol.2019.110935'
73,photovoltaics,1,'10.1016/j.enpol.2019.110935'
74,environmental justice,1,'10.1016/j.enpol.2019.110935'
75,calenviroscreen,1,'10.1016/j.enpol.2019.110935'
76,distributed energy resources,1,'10.1016/j.enpol.2019.110935'
77,social acceptability,1,'10.1016/j.erss.2021.102455'
78,energy systems change,1,'10.1016/j.erss.2021.102455'
79,deliberative methods,1,'10.1016/j.erss.2021.102455'
80,emotion,1,'10.1016/j.erss.2021.102455'
81,lived experience,1,'10.1016/j.erss.2021.102455'
82,case studies,1,'10.1016/j.ecolecon.2022.107456'
83,coal-to-gas policy,1,'10.1016/j.ecolecon.2022.107456'
84,distributive injustice,1,'10.1016/j.ecolecon.2022.107456'
85,energy policies,1,'10.1002/ente.202000668'
86,energy system modeling,1,'10.1002/ente.202000668'
87,environmental impacts,1,'10.1002/ente.202000668'
88,general equilibrium modeling,1,'10.1002/ente.202000668'
89,model coupling,1,'10.1002/ente.202000668'
90,vulnerability,1,'10.1016/j.erss.2017.09.035'
91,indicators,1,'10.1016/j.erss.2017.09.035'
92,spatial analysis,1,'10.1016/j.erss.2017.09.035'
93,energy burden,1,'10.3390/ijerph18020620'
94,social capital,1,'10.3390/ijerph18020620'
95,environmental quality,1,'10.3390/ijerph18020620'
96,public health,1,'10.3390/ijerph18020620'
97,social determinants of health,1,'10.3390/ijerph18020620'
98,"energy transitions ,just transitions",1,'10.1016/j.enpol.2021.112158'
99,electricity generation,1,'10.1016/j.enpol.2021.112158'
100,india,1,'10.1016/j.enpol.2021.112158'
101,green jobs,1,'10.1016/j.enpol.2021.112158'
102,energy access provision,1,'10.1016/j.erss.2021.102075'
103,socially sustainable energy system narrative,1,'10.1016/j.erss.2021.102075'
104,energy sufficiency,1,'10.1016/j.erss.2021.102075'
105,system dynamics,1,'10.1016/j.erss.2021.102075'
106,energy system modelling,1,'10.1016/j.erss.2021.102075'
