,word,count,DOI
0,income,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2021.112205',
 '10.1007/s10584-017-2094-x', '10.1016/j.ecolecon.2022.107456'"
1,education,3,"'10.1016/j.enpol.2021.112444', '10.1016/j.jclepro.2019.119626',
 '10.3390/ijerph18020620'"
2,gender,2,"'10.1016/j.enpol.2021.112444', '10.1016/j.jclepro.2019.119626'"
3,housing burden,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
4,poverty,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
5,unemployment,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002'"
6,energy burden,2,"'10.3390/ijerph18020620', '10.1016/j.ref.2022.02.002'"
7,number of registered domestic biogas digesters,1,'10.1186/s13705-017-0111-6'
8,distance to nearest district headquarters,1,'10.1186/s13705-017-0111-6'
9,share of population made up of women,1,'10.1186/s13705-017-0111-6'
10,share of population categorised as marginalised,1,'10.1186/s13705-017-0111-6'
11,share of households with no household appliances,1,'10.1186/s13705-017-0111-6'
12,capacity requirements,1,'10.1016/j.apenergy.2019.113724'
13,slack to least-cost solution,1,'10.1016/j.apenergy.2019.113724'
14,fuel poverty,1,'10.1016/j.enpol.2021.112444'
15,emplyoment status,1,'10.1016/j.enpol.2021.112444'
16,problems to afford housing,1,'10.1016/j.enpol.2021.112444'
17,dampness in dwelling,1,'10.1016/j.enpol.2021.112444'
18,darkness in dwelling,1,'10.1016/j.enpol.2021.112444'
19,ownership,1,'10.1016/j.enpol.2021.112444'
20,health,1,'10.1016/j.enpol.2021.112444'
21,place of living (region),1,'10.1016/j.enpol.2021.112444'
22,double glazing,1,'10.1016/j.enpol.2021.112444'
23,single-parent,1,'10.1016/j.enpol.2021.112444'
24,costs of energy,1,'10.1016/j.erss.2018.05.026'
25,inclusion in planning processes,1,'10.1016/j.erss.2018.05.026'
26,profiteers,1,'10.1016/j.erss.2018.05.026'
27,potential energy shortages,1,'10.1016/j.erss.2018.05.026'
28,competitiveness,1,'10.1016/j.erss.2018.05.026'
29,benefit for future generations,1,'10.1016/j.erss.2018.05.026'
30,trust in utilities,1,'10.1016/j.erss.2018.05.026'
31,trust in research/ non-governmental/ nonprofit organizations energy independence,1,'10.1016/j.erss.2018.05.026'
32,employent numbers,1,'10.1016/j.rser.2020.110610'
33,working-age,1,'10.1016/j.rser.2020.110610'
34,employment factor ,1,'10.1016/j.rser.2020.110610'
35,location and orientation of the building,1,'10.1177/1420326X17713071'
36,adaptive comfort,1,'10.1177/1420326X17713071'
37,calculated demand,1,'10.1177/1420326X17713071'
38,clean heating subsidies,1,'10.1016/j.enpol.2021.112205'
39,cost of residents,1,'10.1016/j.enpol.2021.112205'
40,total cost of heating operation,1,'10.1016/j.enpol.2021.112205'
41,heating costs,1,'10.1016/j.enpol.2021.112205'
42,equipment purchase,1,'10.1016/j.enpol.2021.112205'
43,relative risk of pm,1,'10.1016/j.enpol.2021.112205'
44,inequality aversion,1,'10.1007/s10584-017-2094-x'
45,time preference,1,'10.1007/s10584-017-2094-x'
46,catastrophic damages,1,'10.1007/s10584-017-2094-x'
47,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
48,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
49,region,1,'10.1016/j.jclepro.2019.119626'
50,average wage,1,'10.1016/j.jclepro.2019.119626'
51,total number of pv installations,1,'10.1016/j.enpol.2019.110935'
52,total installed capacity,1,'10.1016/j.enpol.2019.110935'
53,educational attainment,1,'10.1016/j.enpol.2019.110935'
54,linguistic isolation,1,'10.1016/j.enpol.2019.110935'
55,asthma emergency room visits,1,'10.1016/j.enpol.2019.110935'
56,cardiovascular disease emergency room visits,1,'10.1016/j.enpol.2019.110935'
57,percent low birthweight births,1,'10.1016/j.enpol.2019.110935'
58,ozone concentrations,1,'10.1016/j.enpol.2019.110935'
59,pm2.5 concentrations,1,'10.1016/j.enpol.2019.110935'
60,diesel pm emissions,1,'10.1016/j.enpol.2019.110935'
61,drinking water contamination,1,'10.1016/j.enpol.2019.110935'
62,pesticide use,1,'10.1016/j.enpol.2019.110935'
63,toxic releases,1,'10.1016/j.enpol.2019.110935'
64,traffic density,1,'10.1016/j.enpol.2019.110935'
65,cleanup sites,1,'10.1016/j.enpol.2019.110935'
66,groundwater threats,1,'10.1016/j.enpol.2019.110935'
