,parameter,count,doi,Energy justice,Other,None/Skip,Environmental justice,Just Transition
21,bangladesh,1,"10.1016/j.gloenvcha.2019.101985",0,0,1,0,0
8,brazil,1,"10.1016/j.enpol.2020.111256",0,1,0,0,0
20,chile,1,"10.1177/1420326X17713071",0,1,0,0,0
4,china,3,"10.1016/j.jclepro.2019.119626, 10.1016/j.ecolecon.2022.107456, 10.1016/j.enpol.2021.112205",1,0,3,0,0
33,france,1,"10.1007/s10584-019-02521-7",1,0,0,0,0
1,germany,2,"10.1016/j.erss.2018.05.026, 10.1007/s10584-019-02521-7",1,1,0,0,0
3,india,2,"10.1016/j.apenergy.2021.118235, 10.1016/j.enpol.2021.112158",0,0,1,0,1
17,ireland,1,"10.1016/j.enpol.2021.112444",0,1,0,0,0
18,japan,1,"10.1016/j.rser.2020.110610",0,0,0,0,1
23,malawi,1,"10.1016/j.gloenvcha.2019.101985",0,0,1,0,0
2,mexico,2,"10.1016/j.gloenvcha.2019.101985, 10.1016/j.worlddev.2021.105725",0,1,1,0,0
10,nepal,1,"10.1186/s13705-017-0111-6",1,0,0,0,0
22,netherlands,1,"10.1016/j.gloenvcha.2019.101985",0,0,1,0,0
32,norway,1,"10.1007/s10584-019-02521-7",1,0,0,0,0
24,south africa,1,"10.1016/j.gloenvcha.2019.101985",0,0,1,0,0
15,switzerland,1,"10.1016/j.apenergy.2019.113724",1,0,0,0,0
31,united kingdom,4,"10.1016/j.erss.2021.102455",2,2,0,0,0
5,usa,3,"10.1016/j.enpol.2019.110935, 10.3390/ijerph18020620, 10.1016/j.erss.2018.08.005",0,0,2,1,0
