,parameter,count,doi
0,regression coefficients,2,"'10.1186/s13705-017-0111-6', '10.3390/ijerph18020620'"
1,electricity generation per capita,1,'10.1016/j.apenergy.2019.113724'
2,electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
3,electricity generation costs,1,'10.1016/j.apenergy.2019.113724'
4,investment share,1,'10.1016/j.apenergy.2019.113724'
5,electricity generation cost,1,'10.1016/j.apenergy.2019.113724'
6,regional spillover,1,'10.1016/j.apenergy.2019.113724'
7,regional equity,1,'10.1016/j.apenergy.2019.113724'
8,spatial distribution of electricity generation per demand,1,'10.1016/j.apenergy.2019.113724'
9,fuel poverty,1,'10.1016/j.enpol.2021.112444'
10,income poverty,1,'10.1016/j.enpol.2021.112444'
11,acceptance,1,'10.1016/j.erss.2018.05.026'
12,attitude towards renewable energy technologie,1,'10.1016/j.erss.2018.05.026'
13,trust in local stakeholders,1,'10.1016/j.erss.2018.05.026'
14,fairness,1,'10.1016/j.erss.2018.05.026'
15,trust in research/ non-governmental/ nonprofit organizations,1,'10.1016/j.erss.2018.05.026'
16,regional added value,1,'10.1016/j.erss.2018.05.026'
17,ratio of working-age population,1,'10.1016/j.rser.2020.110610'
18,employment numbers,1,'10.1016/j.rser.2020.110610'
19,gini coefficient,1,'10.1016/j.rser.2020.110610'
20,fpi,1,'10.1177/1420326X17713071'
21,fp,1,'10.1177/1420326X17713071'
22,fppri,1,'10.1177/1420326X17713071'
23,energy poverty,1,'10.1016/j.enpol.2021.112205'
24,heating poverty,1,'10.1016/j.enpol.2021.112205'
25, health economic benefits,1,'10.1016/j.enpol.2021.112205'
26,carbon price,1,'10.1007/s10584-017-2094-x'
27,inequality aversion,1,'10.1007/s10584-017-2094-x'
28,time preference,1,'10.1007/s10584-017-2094-x'
29,catastrophic damages,1,'10.1007/s10584-017-2094-x'
30,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
31,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
32,income,1,'10.1007/s10584-017-2094-x'
33,land acquisation (around the project site): persons whose agricultural land has been acquired,1,'10.1016/j.apenergy.2021.118235'
34,persons who have become landless and houseless,1,'10.1016/j.apenergy.2021.118235'
35,other persons affected,1,'10.1016/j.apenergy.2021.118235'
36,labor change,1,'10.1016/j.jclepro.2019.119626'
37,labor mobility,1,'10.1016/j.jclepro.2019.119626'
38,urbanization rate,1,'10.1016/j.jclepro.2019.119626'
39,change in household income,1,'10.1016/j.jclepro.2019.119626'
40,income gap among urban residents,1,'10.1016/j.jclepro.2019.119626'
41,installed pv capacity per capita,1,'10.1016/j.enpol.2019.110935'
42,calenviroscreen (ces) score,1,'10.1016/j.enpol.2019.110935'
43,environmental justice (ej) score,1,'10.1016/j.enpol.2019.110935'
44,disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure) precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
45,annual rate of solar adoption,1,'10.1016/j.enpol.2019.110935'
46,gap of rate of solar adotion between high- and low-adopters,1,'10.1016/j.enpol.2019.110935'
47,exposure,1,'10.1016/j.ecolecon.2022.107456'
48,sensitivity,1,'10.1016/j.ecolecon.2022.107456'
49,energy vulnerability,1,'10.1016/j.ecolecon.2022.107456'
50,amount of subsidy per household,1,'10.1016/j.ecolecon.2022.107456'
51,loss of distributive justice,1,'10.1016/j.ecolecon.2022.107456'
52,monetary resource waste,1,'10.1016/j.ecolecon.2022.107456'
53,lihc (low income high cost),1,'10.1016/j.erss.2017.09.035'
54,10% indicator,1,'10.1016/j.erss.2017.09.035'
55,distributional employment impacts: land acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
56,spatial distribution of job loss and gains ,1,'10.1016/j.enpol.2021.112158'
57,sufficient electricity provision (in %) ,1,'10.1016/j.erss.2021.102075'
58,system-wide levelized cost,1,'10.1016/j.erss.2021.102075'
