,parameter,count,doi,"""Justice"" in general (eg. not placed in theoretical context)",None,Energy justice,Justice in terms of worldviews of energy developers and Indigenous people,Environmental justice,Just Transition,Fuel poverty,"Dustributional impacts, vertical inequalities",social justice,(Skip question: Not applicable)
0,great britain,2,"'10.1016/j.enbuild.2018.07.010', '10.1007/s10584-019-02521-7'",0,0,1,0,0,0,1,0,0,0
1,germany,2,"'10.1016/j.erss.2018.05.026', '10.1007/s10584-019-02521-7'",1,0,1,0,0,0,0,0,0,0
2,mexico,2,"'10.1016/j.gloenvcha.2019.101985',
 'https://doi.org/10.1016/j.worlddev.2021.105725'",0,1,0,1,0,0,0,0,0,0
3,india,2,"'10.1016/j.apenergy.2021.118235', '10.1016/j.enpol.2021.112158'",0,1,0,0,0,1,0,0,0,0
4,china,2,"'10.1016/j.jclepro.2019.119626', '10.1016/j.ecolecon.2022.107456'",0,2,1,0,0,0,0,0,0,0
5,usa,2,"'10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620'",0,1,0,0,1,0,0,0,0,0
6,london,1,'10.1016/j.enbuild.2018.07.010',0,0,0,0,0,0,1,0,0,0
7,london borough of newham (lbn),1,'10.1016/j.enbuild.2018.07.010',0,0,0,0,0,0,1,0,0,0
8,porta bela (manacapuru) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,0,0,0,0,0,0,0,1,0
9,jacuru (iranduba) (state amazonas in brazil),1,'10.1016/j.enpol.2020.111256',0,0,0,0,0,0,0,0,1,0
10,nepal,1,'10.1186/s13705-017-0111-6',0,0,1,0,0,0,0,0,0,0
11, village development committee (vdc),1,'10.1186/s13705-017-0111-6',0,0,1,0,0,0,0,0,0,0
12,kapilvastu district,1,'10.1186/s13705-017-0111-6',0,0,1,0,0,0,0,0,0,0
13,kaski district,1,'10.1186/s13705-017-0111-6',0,0,1,0,0,0,0,0,0,0
14,saptari district,1,'10.1186/s13705-017-0111-6',0,0,1,0,0,0,0,0,0,0
15,switzerland,1,'10.1016/j.apenergy.2019.113724',0,0,1,0,0,0,0,0,0,0
16,swiss municipalities,1,'10.1016/j.apenergy.2019.113724',0,0,1,0,0,0,0,0,0,0
17,ireland,1,'10.1016/j.enpol.2021.112444',0,0,0,0,0,0,0,1,0,0
18,japan,1,'10.1016/j.rser.2020.110610',0,0,0,0,0,1,0,0,0,0
19,colorado,1,'10.1016/j.erss.2018.08.005',0,0,0,0,0,0,0,0,0,1
20,concepcion (central-south of chile),1,'10.1177/1420326X17713071',0,0,0,0,0,0,0,0,1,0
21,bangladesh,1,'10.1016/j.gloenvcha.2019.101985',0,1,0,0,0,0,0,0,0,0
22,netherlands,1,'10.1016/j.gloenvcha.2019.101985',0,1,0,0,0,0,0,0,0,0
23,malawi,1,'10.1016/j.gloenvcha.2019.101985',0,1,0,0,0,0,0,0,0,0
24,south africa,1,'10.1016/j.gloenvcha.2019.101985',0,1,0,0,0,0,0,0,0,0
25,cities in beijing-tianjin-hebei (china),1,'10.1016/j.enpol.2021.112205',0,1,0,0,0,0,0,0,0,0
26,none,1,'10.1007/s10584-017-2094-x',0,1,0,0,0,0,0,0,0,0
27,isthmus of tehuantepec,1,'https://doi.org/10.1016/j.worlddev.2021.105725',0,0,0,1,0,0,0,0,0,0
28,california,1,'10.1016/j.enpol.2019.110935',0,0,0,0,1,0,0,0,0,0
29,port talbot,1,'10.1016/j.erss.2021.102455',0,0,1,0,0,0,0,0,0,0
30,south wales,1,'10.1016/j.erss.2021.102455',0,0,1,0,0,0,0,0,0,0
31,united kingdom,1,'10.1016/j.erss.2021.102455',0,0,1,0,0,0,0,0,0,0
32,norway,1,'10.1007/s10584-019-02521-7',0,0,1,0,0,0,0,0,0,0
33,france ,1,'10.1007/s10584-019-02521-7',0,0,1,0,0,0,0,0,0,0
34,gaocheng district,1,'10.1016/j.ecolecon.2022.107456',0,0,1,0,0,0,0,0,0,0
35,hebei province,1,'10.1016/j.ecolecon.2022.107456',0,0,1,0,0,0,0,0,0,0
36,england ,1,'10.1016/j.erss.2017.09.035',1,0,0,0,0,0,0,0,0,0
